ItemName,ShortName,EnglishUS,French,German,Spanish,Russian
CH/FPD/NONELEM/MAT,"<p><b>Pipe Material</b><br/>Please  select correct actual pipe material required. If your material is not included in the pull-down list, please select ""Others"" and advise material detail in notes</p>",,,,,
CH/FPD/ELEM/MAT,"<p><b>Element Material</b><br/>Please  select correct actual element material required. If your material is not included in the pull-down list, please select ""Others"" and advise material detail in notes</p>",,,,,
CH/FPD/PLATE/THICK,"<p><b>Orifice Plate Thickness</b><br/>ABB Standard plate thicknesses are:-<br/>6""NB (150mm) and below: 3mm<br/>8""NB (200mm) to 12""NB (300mm): 6mm<br/>14""NB (350mm) to 24""NB (600mm): 10mm<br/>Above 24""NB(600mm) is subject to thickness calc and to the available standard metric plate thicknesses</p><p>All thickness are subject to minimum thickness calculation. These  comply with ISO 5167</p> ",,,,,
CH/FPD/END/CONN/TYPE,"<p><b>Flange Type</b><br/>Raised Face(RF), Flat Face/Full Face (FF) and Ring Type Joint (RTJ) are the flange facings offered. This information is required even if we do not supply the flanges. This is required to correctly design the orifice plate</p>",,,,,
CH/FPD/END/CONN/RAT,<p><b>Flange Rating</b><br/>Changing the rating of the flange potentially changes the design and cost of the orifice plate</p>,,,,,
CH/FPD/TAPPING,<p>Tapping</p>,,,,,
CH/FPD/FLUID,<p>Fluid Type</p>,,,,,
CH/FPD/GASKET,<p>Gasket material selection <b>must be made</b> for RTJ plates and for FPD160 Orifice Flanges.  It is not required if ABB is supplying only an  Orifice Plate for installation between RF/FF flanges.  </p>,,,,,
CH/FPD/TAB/HANDLE,"<p>Tab Handle -ABB Orifice Plates typically have a Tab Handle where the Tag Number, Pipe Size, Bore Size and other info are inscribed.  If the customer specifically does <b>not </b>want a handle, select this option</p>",,,,,
CH/FPD/ORI/SEALING/FACE,"<p>Orifice Sealing Face - ABB standard plate finish is Ra&lt;=0.8 micrometers.  If customer requests a scrolled (Ra 3.2 to 6.3micrometers) gasket contact area finish , then  please select this option, but <b>only if specifically required by the customer</b></p>",,,,,
CH/FPD/DRAIN/VENT,"<p><b>Drain/Vent Hole</b><br/>Customers may request a Drain or Vent hole,  Drain hole for gases and steam so that moisture does not build up in bottom of pipe and likewise for liquid a vent hole may be specified to prevent gas bubbles from building up in the top of the pipe.  If this option is selected, then the size must be specified in the next option.</p>",,,,,
CH/FPD/DRAIN/VENT/SIZE,<p><b>Drain/Vent Hole Size</b><br/>Required if drain/Vent hole selected as this affects the DP calculated.  Please note ISO 5167 stated Drain or vent hole size should not exceed 10% of the bore and is not required for line inside diametes below 100mm</p>,,,,,
CH/FPD/SURFACE/TREAT,<p><b>Surface Treatment</b><br/>If oxygen service or other fluids which require complete removal of all grease traces for safe operation.</p>,,,,,
CH/FPD/CERTIFICATION,<p><b>Certification</b><br/>ABB standard is usually 3.1 Material Certification.  Only select 3.2 mat certs if <b>specifically </b>requested. For Sour Gas NACE is usually selected.  Please select all that apply to meet customer specification</p>,,,,,
CH/FPD/TESTING,"<p><b>Testing</b><br/>Only select if additional testing is required over and above the requirements of the standard material specification,  If selected, full details must be provided  (in Calculation Notes box)</p>",,,,,
CH/FPD/DOC/LANG,"<p><b>Documentation Language</b><br/>English manuals are standard and will be supplied if not advised otherwise.  If another language is selected, verify availability with factory</p>",,,,,
CH/FPD/ADD/REQ,"<p><b>Added Requirements</b><br/>Advise (in Calculation Notes box) if there are any other requirements but note that full details are required.  If ""Manufactured to customer drawing is selected"" please enter drawing reference number in box below and supply the drawing. If Material limitations are required please clarify full limits of the restrictions.</p>",,,,,
