ItemName,ShortName,EnglishUS,French,German,Spanish,Russian
CH/FPD/ELEM/MAT,"<p><b>Orifice Plate Material</b><br/>Please select correct orifice plate material required. If your material is not included in the pull-down list, please select ""Others"" and advise material detail in notes.</p>",,,,,
CH/FPD/PLATE/THICK,"<p><b>Orifice Plate Thickness</b><br/>ABB Standard plate thicknesses are:-<br/>6""NB (150mm) and below: 3mm<br/>8""NB (200mm) to 12""NB (300mm): 6mm<br/>14""NB (350mm) to 24""NB (600mm): 10mm<br/>For sizes above 24""NB (600mm), plate thickness is subject to a thickness calculation and metric plate thickness availability.</p><p>All thicknesses are subject to a minimum thickness calculation.</p> ",,,,,
CH/FPD/END/CONN/TYPE,"<p><b>Flange Type</b><br/>Raised Face(RF), Flat/Full Face (FF) and Ring Type Joint (RTJ) are the flange facings offered.</p>",,,,,
CH/FPD/END/CONN/RAT,<p><b>Flange Rating</b><br/>The flange rating will affect the size and design of the orifice plate.</p>,,,,,
CH/FPD/TAPPING,<p>Tapping</p>,,,,,
CH/FPD/FLUID,<p>Fluid Type</p>,,,,,
CH/FPD/GASKET,<p><b>Gasket Material</b></p>,,,,,
CH/FPD/TAB/HANDLE,"<p><b>Tab Handle</b><br/>ABB Orifice Plates typically have a Tab Handle where the Tag Number, Pipe Size, Bore Size and other info are inscribed. If the customer specifically does <b>not</b> want a handle, select this option.</p>",,,,,
CH/FPD/ORI/SEALING/FACE,"<p><b>Orifice Sealing Face</b><br/>ABB standard plate finish is Ra &lt;= 0.8 um. If customer requests a scrolled (Ra 3.2 to 6.3 um) gasket contact area finish, then please select this option, but <b>only</b> if specifically required by the customer.</p>",,,,,
CH/FPD/DRAIN/VENT,"<p><b>Drain/Vent Hole</b><br/>Customers may request a drain or vent hole, where a drain hole is used for gases and steam so that moisture does not build up in bottom of pipe and a vent hole is used on liquid applications to prevent gas bubbles from building up in the top of the pipe. If this option is selected, then the size must be specified in the next option.</p><p><b>Note:</b> ISO 5167 states that drain or vent holes are not required for applications where the pipe inside diameter is less than 100mm.</p>",,,,,
CH/FPD/DRAIN/VENT/SIZE,<p><b>Drain/Vent Hole Size</b><br/>Required if drain/vent hole selected as this affects the DP calculated. <b>Note:</b> ISO 5167 states that drain or vent hole size should not exceed 10% of the bore diameter.</p>,,,,,
CH/FPD/SURFACE/TREAT,<p><b>Surface Treatment</b><br/>For applications which require complete removal of all traces of grease for safe operation e.g. oxygen service.</p>,,,,,
CH/FPD/CERTIFICATION,<p><b>Certification</b><br/>Standard is usually 3.1 Material Certification. Only select 3.2 material certificates if <b>specifically</b> requested. For sour gas NACE is usually selected. Please select all that apply to meet the customer specifications.</p>,,,,,
CH/FPD/TESTING,"<p><b>Testing</b><br/>Only select if additional testing is required over and above the requirements of the standard material specification. If selected, full details must be provided in Calculation Notes box.</p>",,,,,
CH/FPD/DOC/LANG,"<p><b>Documentation Language</b><br/>English manuals are standard and will be supplied if not advised otherwise. If another language is selected, verify availability with factory.</p>",,,,,
CH/FPD/ADD/REQ,"<p><b>Added Requirements</b><br/>Advise (in Calculation Notes box) if there are any other requirements but note that full details are required. If ""Manufactured to customer drawing is selected"" please enter drawing reference number in box below and supply the drawing. If Material limitations are required please clarify full limits of the restrictions.</p>",,,,,
CH/FPD/BOLT/TYPE/MAT,<p><b>Bolt/Nut Materials</b><br/>Select the required material for the bolts & nuts; the bolt material appears first and the nut material appears last.</p>,,,,,
