"Expression","RuleType","SelectionOnly","ShortName","Notes"
"([SelectedItem]{CH/FPD/PLATE/THICK,numvalue} < [PlateThicknessMin]{length,LengthOutputUnits})",3,True,"Selected plate thickness is below the mimimum allowable plate thickness for deflection please select ""Z99"" others in the dropdown menu","Plate deflection"
"([SelectedItem]{CH/FPD/PLATE/THICK,numvalue} < [QuarterCircleRadius]{length,LengthOutputUnits})",3,True,"Please select a plate thickness greater than the calculated quarter circle radius or select ""Z99"" Others in the dropdown menu","Quarter circle radius"
"([SelectedItem]{CH/FPD/PRODUCT/DES} IN ('M1','M2','M3')) AND ([SelectedItem]{CH/FPD/PLATE/THICK} IN ('S01','S02','S04','S06','T1','T2')) AND ([SelectedItem]{CH/FPD/CUST/STD}='A1') ",2,True,"Plate thickness is not to the ABB standard - recommend switch to alternative thickness as follows : 3mm (up to 8 in. NB); 6mm (10 to 12 in. NB); 10mm (14 to 20 in. NB)  - all subject to compliance with the Minimum Deflection Thickness shown in the calculation.","ABB"
"([SelectedItem]{CH/FPD/PRODUCT/DES} IN ('M1','M2','M3')) AND ([SelectedItem]{CH/FPD/PLATE/THICK} IN ('S01','S02','S04','S06','S08','S10','T1')) AND ([SelectedItem]{CH/FPD/CUST/STD}='A2') ",2,True,"Plate thickness is not within ARAMCO design standard - recommend switch to alternative thickness","ARAMCO"
"([SelectedItem]{CH/FPD/PRODUCT/DES} IN ('M2','M3')) AND ([SelectedItem]{CH/FPD/PLATE/THICK}='S07') AND ([SelectedItem]{CH/FPD/CUST/STD}='A1')",2,True,"10mm plate thickness is not recommended when using ABB design standard for RTJ plates","10mm ABB"
"([SelectedItem]{CH/FPD/PRODUCT/DES} IN ('M2','M3')) AND ([SelectedItem]{CH/FPD/PLATE/THICK} IN ('T1','T2')) AND ([SelectedItem]{CH/FPD/CUST/STD}='A2')",2,True,"Plate thickness is not within ARAMCO design standard for RTJ meters","ARAMCO RTJ"
"([SelectedItem]{CH/FPD/PRODUCT/DES} IN ('M2','M3')) AND ([SelectedItem]{CH/FPD/CUST/STD}='A2') AND ([SelectedItem]{CH/FPD/LINE/SIZE} IN ('650','700','750','800','850','900','950','001','051'))",2,True,"Line size is not within ARAMCO design standard for RTJ meters","ARAMCO  RTJ > 24in"
"([SelectedItem]{CH/FPD/PRODUCT/DES} IN ('M2','M3')) AND ([SelectedItem]{CH/FPD/CUST/STD}='A1') AND ([SelectedItem]{CH/FPD/LINE/SIZE} IN ('500','550','600','650','700','750','800','850','900','950','001','051'))",2,True,"Line size is not within ABB design standard for RTJ meters","ABB RTJ > 18in"
"([SelectedItem]{CH/FPD/PRODUCT/DES}='M1') AND ([SelectedItem]{CH/FPD/PLATE/THICK}='S01') AND ([SelectedItem]{CH/FPD/CUST/STD}='S1') AND NOT([SelectedItem]{CH/FPD/LINE/SIZE} IN ('015','020','025','040'))",2,True,"Line size not compatible with 1.5mm plate thickness when using Shell design standard","1.5mm SHELL not ½, ¾, 1 or 1½in"
"([SelectedItem]{CH/FPD/PRODUCT/DES}='M1') AND ([SelectedItem]{CH/FPD/PLATE/THICK}='S02') AND ([SelectedItem]{CH/FPD/CUST/STD}='S1') AND NOT([SelectedItem]{CH/FPD/LINE/SIZE} IN ('050'))",2,True,"Line size not compatible with 2mm plate thickness when using Shell design standard","2mm SHELL not 2in"
"([SelectedItem]{CH/FPD/PRODUCT/DES}='M1') AND ([SelectedItem]{CH/FPD/PLATE/THICK}='S03') AND ([SelectedItem]{CH/FPD/CUST/STD}='S1') AND NOT([SelectedItem]{CH/FPD/LINE/SIZE} IN ('080','100'))",2,True,"Line size not compatible with 3mm plate thickness when using Shell design standard","3mm SHELL not 3 or 4in"
"([SelectedItem]{CH/FPD/PRODUCT/DES} IN ('M1','M2','M3')) AND ([SelectedItem]{CH/FPD/PLATE/THICK}='S03') AND ([SelectedItem]{CH/FPD/CUST/STD}='A2') AND NOT([SelectedItem]{CH/FPD/LINE/SIZE} IN ('050','065','080','090','100','125','150','200'))",2,True,"Line size not compatible with 3mm plate thickness when using ARAMCO design ","3mm ARAMCO not 2in to 8in"
"([SelectedItem]{CH/FPD/PRODUCT/DES}='M1') AND ([SelectedItem]{CH/FPD/PLATE/THICK}='S04') AND ([SelectedItem]{CH/FPD/CUST/STD}='S1') AND NOT([SelectedItem]{CH/FPD/LINE/SIZE} IN ('150'))",2,True,"Line size not compatible with 4mm plate thickness when using Shell design standard","4mm SHELL not 6in"
"([SelectedItem]{CH/FPD/PRODUCT/DES}='M1') AND ([SelectedItem]{CH/FPD/PLATE/THICK}='S05') AND ([SelectedItem]{CH/FPD/CUST/STD}='S1') AND NOT([SelectedItem]{CH/FPD/LINE/SIZE} IN ('200','250'))",2,True,"Line size not compatible with 6mm plate thickness when using Shell design standard","6mm SHELL not 8in or 10in"
"([SelectedItem]{CH/FPD/PRODUCT/DES} IN ('M1','M2','M3')) AND ([SelectedItem]{CH/FPD/PLATE/THICK}='S05') AND ([SelectedItem]{CH/FPD/CUST/STD}='A2') AND NOT([SelectedItem]{CH/FPD/LINE/SIZE} IN ('250','300'))",2,True,"Combination of Line size and Flange Rating is not compatible with 6mm plate thickness when using ARAMCO design standard","6mm ARAMCO not 10in to 14in"
"([SelectedItem]{CH/FPD/PRODUCT/DES}='M1') AND ([SelectedItem]{CH/FPD/PLATE/THICK}='S06') AND ([SelectedItem]{CH/FPD/CUST/STD}='S1') AND NOT([SelectedItem]{CH/FPD/LINE/SIZE} IN ('300'))",2,True,"Line size not compatible with 8mm plate thickness when using Shell design standard","8mm SHELL not 12in"
"([SelectedItem]{CH/FPD/PRODUCT/DES}='M1') AND ([SelectedItem]{CH/FPD/PLATE/THICK}='S07') AND ([SelectedItem]{CH/FPD/CUST/STD}='S1') AND NOT([SelectedItem]{CH/FPD/LINE/SIZE} IN ('350','400'))",2,True,"Line size not compatible with 10mm plate thickness when using Shell design standard","10mm SHELL not 14in, 16in"
"([SelectedItem]{CH/FPD/PRODUCT/DES}='M1') AND ([SelectedItem]{CH/FPD/PLATE/THICK}='S07') AND ([SelectedItem]{CH/FPD/CUST/STD}='A2') AND NOT([SelectedItem]{CH/FPD/LINE/SIZE} IN ('400','450','500','600','650'))",2,True,"Line size not compatible with 10mm plate thickness when using ARAMCO design standard","10mm ARAMCO not 16in - 26in"
"([SelectedItem]{CH/FPD/PRODUCT/DES} IN ('M2','M3')) AND ([SelectedItem]{CH/FPD/PLATE/THICK}='S07') AND ([SelectedItem]{CH/FPD/CUST/STD}='A2') AND NOT([SelectedItem]{CH/FPD/LINE/SIZE} IN ('400','450','500','600'))",2,True,"Line size not compatible with 10mm plate thickness when using ARAMCO design standard","10mm ARAMCO RTJ not 16in - 24in"
"([SelectedItem]{CH/FPD/PRODUCT/DES}='M1') AND ([SelectedItem]{CH/FPD/PLATE/THICK}='S08') AND ([SelectedItem]{CH/FPD/CUST/STD}='S1') AND NOT([SelectedItem]{CH/FPD/LINE/SIZE} IN ('450','500'))",2,True,"Line size not compatible with 12mm plate thickness when using Shell design standard","12mm SHELL not 18in, 20in"
"([SelectedItem]{CH/FPD/PRODUCT/DES}='M1') AND ([SelectedItem]{CH/FPD/PLATE/THICK} IN ('T1','T2')) AND ([SelectedItem]{CH/FPD/CUST/STD}='S1')",2,True,"Plate thickness is not within Shell design standard - recommend switch to alternative thickness","SHELL"
"([SelectedItem]{CH/FPD/PRODUCT/DES}='M1') AND ([SelectedItem]{CH/FPD/PLATE/THICK}='T1') AND ([SelectedItem]{CH/FPD/CUST/STD}='A2') AND NOT([SelectedItem]{CH/FPD/LINE/SIZE} IN ('700','750','800','850','900','950'))",2,True,"Line size not compatible with ½in plate thickness when using ARAMCO design standard","½in ARAMCO not 28in - 38in"
"([SelectedItem]{CH/FPD/PRODUCT/DES}='M1') AND ([SelectedItem]{CH/FPD/PLATE/THICK}='S10') AND ([SelectedItem]{CH/FPD/CUST/STD}='S1') AND NOT([SelectedItem]{CH/FPD/LINE/SIZE} IN ('600'))",2,True,"Line size not compatible with 16mm plate thickness when using Shell design standard","16mm SHELL not 24in"
"([SelectedItem]{CH/FPD/PRODUCT/DES}='M1') AND ([SelectedItem]{CH/FPD/PLATE/THICK}='T2') AND ([SelectedItem]{CH/FPD/CUST/STD}='A2') AND NOT([SelectedItem]{CH/FPD/LINE/SIZE} IN ('001','051'))",2,True,"Line size not compatible with ¾in plate thickness when using ARAMCO design standard","¾in ARAMCO not 40in, 42in"
"([SelectedItem]{CH/FPD/PRODUCT/DES}='M1') AND ([SelectedItem]{CH/FPD/CUST/STD}='S1') AND ([SelectedItem]{CH/FPD/LINE/SIZE} IN ('650','700','750','800','850','900','950','001','051'))",2,True,"Line size is not within Shell design standard","SHELL > 24in"
"([SelectedItem]{CH/FPD/PRODUCT/DES} IN ('M2','M3')) AND ([SelectedItem]{CH/FPD/GASKET} IS NULL)",1,True,"For RTJ versions, a gasket material must be selected","RTJ Gaskets"
"(COUNT([SelectedItem]{CH/FPD/ADD/REQ}) > 0)",1,True,"Please provide full detail of the added requirement(s) with enquiry/order ","Added Req"
"([SelectedItem]{CH/FPD/PRODUCT/DES}='M2') AND ([SelectedItem]{CH/FPD/ELEM/MAT} IS NOT NULL) AND (([SelectedItem]{CH/FPD/GASKET} IS NULL) OR ('G' + [SelectedItem]{CH/FPD/ELEM/MAT} <> [SelectedItem]{CH/FPD/GASKET}))",4,True,"For integral RTJ plates the gasket material must be selected and also must be the same as the plate material","Plate/Gasket material mismatch"
"([FluidCategory] <> 2) AND ([SelectedItem]{CH/FPD/TAPPING/ORIENT} = 'TG2')",2,False,"Inclined Up TG2 - Please consider your tapping orientation selection - Inclined up is recommended for all gas applications to ensure condensate drains back into the pipe and does not collect in impulse pipes.","Tapping orientation = inclined up"
"([FluidCategory] IN (1, 2)) AND ([SelectedItem]{CH/FPD/TAPPING/ORIENT} = 'TG3')",2,False,"Horizontal TG3 - Please consider your tapping orientation - Recommended for all steam applications.","Tapping orientation = horizontal"
"([FluidCategory] <> 1) AND ([SelectedItem]{CH/FPD/TAPPING/ORIENT} = 'TG4')",2,False,"Inclined Down TG4 - Please consider your tapping orientation - Recommended for all liquid applications to ensure gas vents back into the pipe and does not collect in impulse pipes.","Tapping orientation = inclined down"
"(ISNULL([MinimumFlow],-1)<0)",1,False,"As no minimum flow has been provided turndown checks will not be completed","DP warning"
"[MinimumFlow]{flow,MinimumFlowUnits} < 0.25 * [MeterMaxFlow]{flow, MeterMaxFlowUnits}",2,False,"Flow measurement range “Turndown” is greater than 4:1.  We recommend that you ensure that any transmitter used with this meter will have sufficient accuracy at your specified Normal and Minimum flowrates.","DP warning"
"([ReynoldsNoAtMeterMax] is not null) AND ([ReynoldsNoAtMeterMax] > 100000000)",4,False,"Reynolds number is greater than the limit 100,000,000 for any type of differential pressure flow metering. No other type of flow meter in this software package is suitable for such a condition. Please check the accuracy of the input data, consider decreasing the reynolds number by increasing the line size.","Max Reynolds for All products"
"[DPAtMeterMax]{DP,DPUnits} < 125",3,False,"Note: DP is low - check transmitter suitable for these conditions.","DP / transmitter warning"
"([SelectedItem]{CH/FPD/ORIFICE/DESIGN} IN ('L1','E1','E2','E3','U1','U2','S2')) AND ([SelectedItem]{CH/FPD/DRAIN/VENT} IN ('HT1','HT2'))",2,True,"Drain/Vent holes in Orifice Design L1, E1, E2, E3, U1, U2, S2 are not covered by selected standard.","Drain / Vent other than square edge plates outside scope of selected standard"
"([SelectedItem]{CH/FPD/ORIFICE/DESIGN} IN ('C1','C2','C3','L1','E1','E2','E3','U1','U2','S2')) AND ([SelectedItem]{CH/FPD/DRAIN/VENT} IN ('HT1','HT2')) AND ([SelectedItem]{Calculation Type} = '3')",2,True,"Drain/Vent holes in Orifice Design C1, C2, C3, L1, E1, E2, E3, U1, U2, S2 are not covered by selected standard.","Drain / Vent outside scope of selected standard AGA3"
"([SelectedItem]{CH/FPD/DRAIN/VENT} IN ('HT1','HT2')) AND ([PipeID]{length,PipeIDUnits} <= 0.1)",2,True,"ISO 5167 requires line ID to be => 100 mm for the use of drain or vent hole.","Drain vent (100mm OD required)"
"([SelectedItem]{CH/FPD/DRAIN/VENT} IN ('HT1','HT2')) AND ([DrainVentSize]{Length,DrainVentSizeUnits} > 0.1 * [MachinedBore]{Length,LengthOutputUnits})",2,True,"The diameter of the Drain/Vent hole should not exceed 1/10th of the bore.","Drain vent <10% of machined bore (custom sizes only)"
"(([SelectedItem]{CH/FPD/DRAIN/VENT} IN ('HT1','HT2')) AND ([SelectedItem]{CH/FPD/DRAIN/VENT/SIZE,numvalue} > 0.1 * [MachinedBore]{Length,LengthOutputUnits}))",3,False,"The diameter of the Drain/Vent hole should not exceed 1/10th of the bore.","Drain vent <10% of machined bore (pre-set sizes only)"
"(([OperatingPressure]{Pressure,OperatingPressureUnits} > [PipeDesignPressure]{Pressure,PipeDesignPressureUnits}) AND ([UserPipeDesignPressure] = true))",3,False,"Pipe design pressure must be greater than operating pressure.","Design Pressure / Operating Pressure"
"([IsentropicIndex]<1 OR [IsentropicIndex]>3)",2,False,"Isentropic index out of normal range.","Isentropic Index Warning"
"([IsentropicIndex] IS NULL AND [FluidCategory]=4)",1,False,"Please supply isentropic index.","Isentropic Index Missing"
