ItemName,ShortName,EnglishUS,French,German,Spanish,Russian
CH/FPD/HD/RATIO,"<p>Select the <b>H/D Ratio</b> for the element.<br/>The H/D is the ratio of the gap between the wedge and the pipe, and the inside diameter of the pipe. A small H/D ratio (a <b>large</b> wedge) will produce a larger DP; a large H/D (a <b>small</b> wedge) will produce a smaller DP.</p>",,,,,
CH/FPD/END/CONN/TYPE,<p><b>Process Connection Type</b><br/>Select the required type of end connection.</p>,,,,,
CH/FPD/END/CONN/RAT,<p><b>Process Connection Rating</b><br/>Changing the pressure rating of the wedge potentially changes the design and cost of the meter.</p>,,,,,
CH/FPD/TAPPING/TYPE,<p><b>Tapping Type</b><br/>Select the type of tapping for connection to the transmitter. The flanged and chemical tee options are only available with remote seal wedges; the others are only available for pipe tap wedges.</p>,,,,,
CH/FPD/TAPPING/SIZE,<p><b>Tapping Size</b><br/>Select the size of tapping required. The larger sizes are only available with remote seal wedges.</p>,,,,,
CH/FPD/TAPPING/RAT,<p><b>Tapping Rating</b><br/>Please select the required pressure rating of the tappings. Note that Chemical tee taps are limited to a maximum of 20.6 Bar (300 lbf/in2).</p>,,,,,
CH/FPD/TAPPING/SETS,<p><b>Number of Tapping Sets</b><br/>Select the number of sets of DP tappings required. One set is the standard selection; larger numbers may not be available on some versions and/or in smaller sizes.</p>  ,,,,,
CH/FPD/PIPE/ORIENT,<p><b>Pipe Orientation</b><br/>Select whether the pipe run at the meter is horizontal or vertical. Note that a vertical installation means that the two tappings are at different vertical heights and this will create an offset on the tapping pressures which may need to be corrected within the transmitter configuration.</p>,,,,,
CH/FPD/WELD/CODE,"<p><b>Welding Code</b><br/>The default welding code used is ""ASME B31.3 Normal Service"". If an alternative code is requested by the customer, select as required from the list. For a code that is not listed, please supply full details in the <b>Calculation Notes</b> box.</p>",,,,,
CH/FPD/SURFACE/TREAT,"<p><b>Surface Treatment</b><br/>As standard, no paint or other surface treatment is included. If required, select from the appropriate options. For ""Other"", please specify details of required coating/treatment in the <b>Calculation Notes</b> box. If a specific document covers the requirements, please attach it to the calculation file using the ""Import Documents"" feature within <b>Docs Actions</b>.</p>",,,,,
CH/FPD/CERTIFICATION,<p><b>Certification</b><br/>Standard is usually 3.1 Material Certification. Only select 3.2 material certificates if <b>specifically</b> requested. For sour gas NACE is usually selected. Please select all that apply to meet the customer specifications.</p>,,,,,
CH/FPD/TESTING,"<p><b>Testing</b><br/>Only select if additional testing is required over and above the requirements of the standard material specification. If selected, full details must be provided in Calculation Notes box.</p>",,,,,
CH/FPD/CAL,"<p><b>Calibration</b><br/>All wedge meters are flow calibrated on water at 6 points as standard, but only in the ""forward"" flow direction. If a calibration in both directions - or anything other than the standard factory calibration - is required, please select the appropriate option here and also advise full details in the <b>Calculation Notes</b> box.</p>",,,,,
CH/FPD/DOC/LANG,<p><b>Documentation Language</b><br/>English manuals are standard and will be supplied if not advised otherwise. If another language is selected then please verify availability with factory.</p>,,,,,
CH/FPD/ADD/REQ,"<p><b>Added Requirements</b><br/>If a steam jacket is required, please provide full details in the <b>Calculation Notes</b> box.</p><p>If the customer will only accept materials sourced from certain geographical areas, select the <b>Material source limitations apply</b> option and please clarify the full limits of the restrictions.</p>",,,,,
