Notes,Expression,SelectionOnly,RuleType,ShortName,EnglishUS,French,German,Spanish,Russian
,"NOT('0' IN ([SelectedItem]{CH/FPD58/STAND})) AND ([SelectedItem]{CH/FPD58/CONN/SIZE}='050') AND ([SelectedItem]{CH/FPD58/CONN/RATING}='A1F') AND ([FlangeStandoff]{length,FlangeStandoffUnits}<0.102)",FALSE,2,Flange standoff length is less than standard length - 102 mm,,,,,
,"NOT('0' IN ([SelectedItem]{CH/FPD58/STAND})) AND ([SelectedItem]{CH/FPD58/CONN/SIZE}='080') AND ([SelectedItem]{CH/FPD58/CONN/RATING}='A1F') AND ([FlangeStandoff]{length,FlangeStandoffUnits}<0.118)",FALSE,2,Flange standoff length is less than standard length - 118 mm,,,,,
,"NOT('0' IN ([SelectedItem]{CH/FPD58/STAND})) AND ([SelectedItem]{CH/FPD58/CONN/SIZE}='100') AND ([SelectedItem]{CH/FPD58/CONN/RATING}='A1F') AND ([FlangeStandoff]{length,FlangeStandoffUnits}<0.150)",FALSE,2,Flange standoff length is less than standard length - 150 mm,,,,,
,"NOT('0' IN ([SelectedItem]{CH/FPD58/STAND})) AND ([SelectedItem]{CH/FPD58/CONN/SIZE}='150') AND ([SelectedItem]{CH/FPD58/CONN/RATING}='A1F') AND ([FlangeStandoff]{length,FlangeStandoffUnits}<0.150)",FALSE,2,Flange standoff length is less than standard length - 150 mm,,,,,
,"NOT('0' IN ([SelectedItem]{CH/FPD58/STAND})) AND ([SelectedItem]{CH/FPD58/CONN/SIZE}='040') AND ([SelectedItem]{CH/FPD58/CONN/RATING}='D1F') AND ([FlangeStandoff]{length,FlangeStandoffUnits}<0.078)",FALSE,2,Flange standoff length is less than standard length - 78 mm,,,,,
,"NOT('0' IN ([SelectedItem]{CH/FPD58/STAND})) AND ([SelectedItem]{CH/FPD58/CONN/SIZE}='050') AND ([SelectedItem]{CH/FPD58/CONN/RATING}='D1F') AND ([FlangeStandoff]{length,FlangeStandoffUnits}<0.086)",FALSE,2,Flange standoff length is less than standard length - 86 mm,,,,,
,"NOT('0' IN ([SelectedItem]{CH/FPD58/STAND})) AND ([SelectedItem]{CH/FPD58/CONN/SIZE}='080') AND ([SelectedItem]{CH/FPD58/CONN/RATING}='D1F') AND ([FlangeStandoff]{length,FlangeStandoffUnits}<0.098)",FALSE,2,Flange standoff length is less than standard length - 98 mm,,,,,
,"NOT('0' IN ([SelectedItem]{CH/FPD58/STAND})) AND ([SelectedItem]{CH/FPD58/CONN/SIZE}='100') AND ([SelectedItem]{CH/FPD58/CONN/RATING}='D1F') AND ([FlangeStandoff]{length,FlangeStandoffUnits}<0.150)",FALSE,2,Flange standoff length is less than standard length - 150 mm,,,,,
,"NOT('0' IN ([SelectedItem]{CH/FPD58/STAND})) AND ([SelectedItem]{CH/FPD58/CONN/SIZE}='150') AND ([SelectedItem]{CH/FPD58/CONN/RATING}='D1F') AND ([FlangeStandoff]{length,FlangeStandoffUnits}<0.150)",FALSE,2,Flange standoff length is less than standard length - 150 mm,,,,,
,"('5' IN ([SelectedItem]{CH/FPD58/DPTX/MOUNT})) AND ((([DesignTemperatureMax]{temperature,OperatingTemperatureUnits} IS NOT NULL) AND ([DesignTemperatureMax]{temperature,OperatingTemperatureUnits} > 493)) OR ([OperatingTemperature]{temperature,OperatingTemperatureUnits} > 493))",FALSE,3,Temperature too high (>220°C) for DP Transmitter mounting with 5 valve manifold connections.,,,,,
,"([SelectedItem]{CH/FPD58/DPTXSPAN/LIMITS}='A') AND ([DPatMeterMax]{DP,DPUnits} > 1000)",FALSE,3,"Differential pressure too high for cell range ""A"" (> 10 mBar).",,,,,
,"([SelectedItem]{CH/FPD58/DPTXSPAN/LIMITS}='C') AND ([DPatMeterMax]{DP,DPUnits} > 6000)",FALSE,3,"Differential pressure too high for cell range ""C"" (> 60 mBar).",,,,,
CriticalFlow,"(ISNULL([NormalFlow], 0) <= 0)",FALSE,2,"As no normal flowrate figure has been entered, the software is unable to carry out a critical resonance (wake) test.",,,,,
CriticalFlow,([CriticalVL] <= [VelocityNormalFlow]) AND ([VelocityNormalFlow] <= [CriticalVH]),FALSE,3,Velocity at normal flow is between critical velocities.,,,,,
DP warning,"(ISNULL([MinimumFlow],-1)<0)",FALSE,1,As no minimum flow has been provided turndown checks will not be completed.,,,,,
DP warning,"[MinimumFlow]{flow,MinimumFlowUnits} < 0.25 * [MeterMaxFlow]{flow, MeterMaxFlowUnits}",FALSE,2,Flow measurement range “Turndown” is greater than 4:1.  We recommend that you ensure that any transmitter used with this meter will have sufficient accuracy at your specified Normal and Minimum flowrates.,,,,,
Max Reynolds for All products,([ReynoldsNoAtMeterMax] is not null) AND ([ReynoldsNoAtMeterMax] > 100000000),FALSE,4,"Reynolds number is greater than the limit 100,000,000 for any type of differential pressure flow metering. No other type of flow meter in this software package is suitable for such a condition. Please check the accuracy of the input data, consider decreasing the reynolds number by increasing the line size.",,,,,
DP / transmitter warning,"[DPAtMeterMax]{DP,DPUnits} < 125",FALSE,3,Note: DP is low - check transmitter suitable for these conditions.,,,,,
