"ColumnName","Value","Units","UnitsType","Expression","Notes"
"UpstreamTappingDiameter","=convert(isnull([PipeID]{length,PipeIDUnits},0)*0.1*1000.0,'System.Int32')/1000.0","m","length","Exp8",
"ThroatTappingDiameter","=IIF(isnull([MachinedBore]{length,LengthOutputUnits},0)*0.13>0.01,0.01,convert(isnull([MachinedBore]{length,LengthOutputUnits},0)*0.13*1000.0,'System.Int32')/1000.0)","m","length","Exp7",
"ThroatTappingDiameter","=convert(isnull([MachinedBore]{length,LengthOutputUnits},0)*0.13*1000.0,'System.Int32')/1000.0","m","length","Exp8",
"VenturiUpPipeA","=isnull([PipeID]{length,PipeIDUnits},0)+isnull([AdditionalUpstreamLength]{length,LengthOutputUnits},0)","m","length","","Upstream length"
"VenturiUpConeB","=((isnull([PipeID]{length,PipeIDUnits},0)-isnull([MachinedBore]{length,LengthOutputUnits},0))/2.0)*5.3955172","m","length","","Convergent length"
"VenturiThroatC","=isnull([MachinedBore]{length,LengthOutputUnits},0)","m","length","","Throat length"
"VenturiDnConeE","=((isnull([PipeID]{length,PipeIDUnits},0)-isnull([MachinedBore]{length,LengthOutputUnits},0))/2.0)/0.0611626201504843","m","length","Exp3","Divergent length, 7 degree cone"
"VenturiDnConeE","=((isnull([PipeID]{length,PipeIDUnits},0)-isnull([MachinedBore]{length,LengthOutputUnits},0))/2.0)/0.131652497587396","m","length","Exp4","Divergent length, 15 degree cone"
"VenturiDnPipeX","=isnull([ParallelDownstreamLength]{length,LengthOutputUnits},0)","m","length","","Downstream length"
"VenturiLengthL1","=isnull([VenturiUpPipeA]{length,LengthOutputUnits},0)+isnull([VenturiUpConeB]{length,LengthOutputUnits},0)+isnull([VenturiThroatC]{length,LengthOutputUnits},0)+isnull([VenturiDnConeE]{length,LengthOutputUnits},0)+isnull([VenturiDnPipeX]{length,LengthOutputUnits},0)","m","length","","Overall (ex. Flanges)"
"VenturiLengthL","=isnull([VenturiLengthL1]{length,LengthOutputUnits},0)+(2.0*isnull([FlangeLength]{length,LengthOutputUnits},0))","m","length","","Overall (incl. Flanges)"
"VenturiThroatSF","=isnull([MachinedBore]{length,LengthOutputUnits},0)*10.0","","","","Throat surface finish in micro-metres; maths works as the conversion m to micro m is 10^6"
"UniqueExpression","Exp1","","","([SelectedItem]{CH/FPD/PRODUCT/DES} = 'V1')","Machined"
"UniqueExpression","Exp2","","","([SelectedItem]{CH/FPD/PRODUCT/DES} = 'V2')","Fabricated"
"UniqueExpression","Exp3","","","([SelectedItem]{CH/FPD/CUST/STD} = 'L1')","7 degree cone"
"UniqueExpression","Exp4","","","([SelectedItem]{CH/FPD/CUST/STD} = 'A1')","15 degree cone"
"UniqueExpression","Exp5","","","([SelectedItem]{CH/FPD/END/CONN/TYPE} = 'P1')","Prepped"
"UniqueExpression","Exp6","","","([SelectedItem]{CH/FPD/END/CONN/TYPE} IN ('S1','S2','R2','R3','J2','F2','F3'))","Flanged"
"UniqueExpression","Exp7","","","(isnull([MachinedBore]{length,LengthOutputUnits},0)>=0.0333)","Tapping dia bore limit"
"UniqueExpression","Exp8","","","(isnull([MachinedBore]{length,LengthOutputUnits},0)<0.0333)","Tapping dia bore limit"
"UniqueExpression","Exp9","","","([SelectedItem]{CH/FPD/LINE/SIZE} IN ('050','065','080','100'))","Line Sizes - 2in. to 4in."
"UniqueExpression","Exp10","","","([SelectedItem]{CH/FPD/LINE/SIZE} IN ('150','200','250','300'))","Line Sizes - 6in. to 12in."
"UniqueExpression","Exp11","","","([SelectedItem]{CH/FPD/LINE/SIZE} IN ('300','350','400'))","Line Sizes - 12in. to 16in."
"UniqueExpression","Exp12","","","([SelectedItem]{CH/FPD/LINE/SIZE} IN ('450','500','600','700'))","Line Sizes - 18in. to 28in."
"UniqueExpression","Exp13","","","([SelectedItem]{CH/FPD/LINE/SIZE} IN ('800','900','1000','1050'))","Line Sizes - 30in. to 42in."
"UniqueExpression","Exp14","","","([SelectedItem]{CH/FPD/ORIFICE/DESIGN} = 'Y0')","Direct Taps"
"UniqueExpression","Exp15","","","([SelectedItem]{CH/FPD/ORIFICE/DESIGN} = 'AR')","Annular Ring"
"UniqueExpression","Exp16","","","([SelectedItem]{CH/FPD/END/CONN/RAT} IN ('A1','A3','A6'))","CL150-600"
"UniqueExpression","Exp17","","","([SelectedItem]{CH/FPD/END/CONN/RAT} IN ('A7','A8','A9'))","CL900-2500"
