Notes,Expression,SelectionOnly,RuleType,ShortName,EnglishUS,French,German,Spanish,Russian
Beta/Reynolds @ normal/Design (concentric:flange) minimum 2,"([SelectedItem]{CH/FPD/ORIFICE/DESIGN}='C2') AND ([Beta] IS NOT NULL) AND ([ReynoldsNoAtNormal] IS NOT NULL) AND ([ReynoldsNoAtNormal] < 170 * [Beta] * [Beta] * [PipeID]{length,PipeIDUnits} * 1000)",FALSE,2,"For Concentric plates with Flange taps, Reynolds number (@ normal flow) must be >= 170 * Beta² * PipeID (in mm)",,,,,
"Beta/Reynolds @ normal/Design (segmental, eccentric) minimum","([SelectedItem]{CH/FPD/ORIFICE/DESIGN} IN ('S2','E1','E2','E3')) AND ([Beta] IS NOT NULL) AND ([ReynoldsNoAtNormal] IS NOT NULL) AND ([ReynoldsNoAtNormal] < (200000 * [Beta] * [Beta]))",FALSE,2,"For Segmental plates, Reynolds number (@ normal flow) must be >= 200000 * Beta 2",,,,,
"Beta/Reynolds @ normal/Design (segmental, eccentric) maximum","([SelectedItem]{CH/FPD/ORIFICE/DESIGN} IN ('S2','E1','E2','E3')) AND ([Beta] IS NOT NULL) AND ([ReynoldsNoAtNormal] IS NOT NULL) AND ([ReynoldsNoAtNormal] < (1000000 * [Beta]))",FALSE,2,"For Segmental plates, Reynolds number (@ normal flow) must be >= 1000000 * Beta ",,,,,
Beta/Reynolds @ normal/Design (quarter circle) minimum,"([SelectedItem]{CH/FPD/ORIFICE/DESIGN} IN ('U1','U2')) AND ([Beta] IS NOT NULL) AND ([ReynoldsNoAtNormal] IS NOT NULL) AND ([ReynoldsNoAtNormal] < ((1000 * [Beta]) + (9400000 * ([Beta] - 0.24)*([Beta] - 0.24)*([Beta] - 0.24)*([Beta] - 0.24)*([Beta] - 0.24)*([Beta] - 0.24)*([Beta] - 0.24)*([Beta] - 0.24))))",FALSE,2,"For Quarter circle plates, Reynolds number (@ normal flow) must be >= 1000*Beta + 9.4E6*(Beta-0.24)^8",,,,,
Beta/Reynolds @ normal/Design (conical) minimum,([SelectedItem]{CH/FPD/ORIFICE/DESIGN}='L1') AND ([ReynoldsNoAtNormal] IS NOT NULL) AND ([ReynoldsNoAtNormal] < 80),FALSE,2,"For Conical Entrance  plates, Reynolds number (@ normal flow) must be >80",,,,,
Reynolds @ normal/Reynolds @ meter max,([ReynoldsNoAtNormal] IS NULL),FALSE,2,No normal flow provided; so Reynolds no for meter max flow used in checks.,,,,,
Plate deflection,"([SelectedItem]{CH/FPD/PLATE/THICK,additionaldata} < [PlateThicknessMin]{length,LengthOutputUnits})",TRUE,3,"Selected plate thickness is below the mimimum allowable plate thickness for deflection please select ""Z99"" others in the dropdown menu",,,,,
Quarter circle radius,"([SelectedItem]{CH/FPD/PLATE/THICK,additionaldata} < [QuarterCircleRadius]{length,LengthOutputUnits})",TRUE,3,"Please select a plate thickness greater than the calculated quarter circle radius or select ""Z99"" Others in the dropdown menu",,,,,
ABB,"([SelectedItem]{CH/FPD/PRODUCT/DES} IN ('C1','C2','C3','C4','C5'')) AND ([SelectedItem]{CH/FPD/PLATE/THICK} IN ('S01','S02','S04','S06','T1','T2')) AND ([SelectedItem]{CH/FPD/CUST/STD}='A1') ",TRUE,2,Plate thickness is not to the ABB standard - recommend switch to alternative thickness as follows : 3mm (up to 8 in. NB); 6mm (10 to 12 in. NB); 10mm (14 to 20 in. NB)  - all subject to compliance with the Minimum Deflection Thickness shown in the calculation.,,,,,
ARAMCO,"([SelectedItem]{CH/FPD/PRODUCT/DES} IN ('C1','C2','C3','C4','C5'')) AND ([SelectedItem]{CH/FPD/PLATE/THICK} IN ('S01','S02','S04','S06','S08','S10','T1')) AND ([SelectedItem]{CH/FPD/CUST/STD}='A2') ",TRUE,2,Plate thickness is not within ARAMCO design standard - recommend switch to alternative thickness,,,,,
10mm ABB,"([SelectedItem]{CH/FPD/PRODUCT/DES} IN ('C3','C4')) AND ([SelectedItem]{CH/FPD/PLATE/THICK}='S07') AND ([SelectedItem]{CH/FPD/CUST/STD}='A1')",TRUE,2,10mm plate thickness is not recommended when using ABB design standard for RTJ plates,,,,,
ARAMCO RTJ,"([SelectedItem]{CH/FPD/PRODUCT/DES} IN ('C3','C4')) AND ([SelectedItem]{CH/FPD/PLATE/THICK} IN ('T1','T2')) AND ([SelectedItem]{CH/FPD/CUST/STD}='A2')",TRUE,2,Plate thickness is not within ARAMCO design standard for RTJ meters,,,,,
ARAMCO  RTJ > 24in,"([SelectedItem]{CH/FPD/PRODUCT/DES} IN ('C3','C4')) AND ([SelectedItem]{CH/FPD/CUST/STD}='A2') AND ([SelectedItem]{CH/FPD/LINE/SIZE} IN ('650','700','750','800','850','900','950','001','051'))",TRUE,2,Line size is not within ARAMCO design standard for RTJ meters,,,,,
ABB RTJ > 18in,"([SelectedItem]{CH/FPD/PRODUCT/DES} IN ('C3','C4')) AND ([SelectedItem]{CH/FPD/CUST/STD}='A1') AND ([SelectedItem]{CH/FPD/LINE/SIZE} IN ('500','550','600','650','700','750','800','850','900','950','001','051'))",TRUE,2,Line size is not within ABB design standard for RTJ meters,,,,,
"1.5mm SHELL not ½, ¾, 1 or 1½in","([SelectedItem]{CH/FPD/PRODUCT/DES}='C1','C2'.'C5') AND ([SelectedItem]{CH/FPD/PLATE/THICK}='S01') AND ([SelectedItem]{CH/FPD/CUST/STD}='S1') AND NOT([SelectedItem]{CH/FPD/LINE/SIZE} IN ('015','020','025','040'))",TRUE,2,Line size not compatible with 1.5mm plate thickness when using Shell design standard,,,,,
2mm SHELL not 2in,"([SelectedItem]{CH/FPD/PRODUCT/DES}='C1','C2'.'C5') AND ([SelectedItem]{CH/FPD/PLATE/THICK}='S2') AND ([SelectedItem]{CH/FPD/CUST/STD}='S1') AND NOT([SelectedItem]{CH/FPD/LINE/SIZE} IN ('050'))",TRUE,2,Line size not compatible with 2mm plate thickness when using Shell design standard,,,,,
3mm SHELL not 3 or 4in,"([SelectedItem]{CH/FPD/PRODUCT/DES}='C1','C2'.'C5') AND ([SelectedItem]{CH/FPD/PLATE/THICK}='S03') AND ([SelectedItem]{CH/FPD/CUST/STD}='S1') AND NOT([SelectedItem]{CH/FPD/LINE/SIZE} IN ('080','100'))",TRUE,2,Line size not compatible with 3mm plate thickness when using Shell design standard,,,,,
3mm ARAMCO not 2in to 8in,"([SelectedItem]{CH/FPD/PRODUCT/DES} IN ('C1','C2','C3','C4','C5'')) AND ([SelectedItem]{CH/FPD/PLATE/THICK}='S3') AND ([SelectedItem]{CH/FPD/CUST/STD}='A2') AND NOT([SelectedItem]{CH/FPD/LINE/SIZE} IN ('050','065','080','090','100','125','150','200'))",TRUE,2,Line size not compatible with 3mm plate thickness when using ARAMCO design ,,,,,
4mm SHELL not 6in,"([SelectedItem]{CH/FPD/PRODUCT/DES}='C1','C2'.'C5') AND ([SelectedItem]{CH/FPD/PLATE/THICK}='S04') AND ([SelectedItem]{CH/FPD/CUST/STD}='S1') AND NOT([SelectedItem]{CH/FPD/LINE/SIZE} IN ('150'))",TRUE,2,Line size not compatible with 4mm plate thickness when using Shell design standard,,,,,
6mm SHELL not 8in or 10in,"([SelectedItem]{CH/FPD/PRODUCT/DES}='C1','C2'.'C5') AND ([SelectedItem]{CH/FPD/PLATE/THICK}='S05') AND ([SelectedItem]{CH/FPD/CUST/STD}='S1') AND NOT([SelectedItem]{CH/FPD/LINE/SIZE} IN ('200','250'))",TRUE,2,Line size not compatible with 6mm plate thickness when using Shell design standard,,,,,
6mm ARAMCO not 10in to 14in,"([SelectedItem]{CH/FPD/PRODUCT/DES} IN ('C1','C2','C3','C4','C5'')) AND ([SelectedItem]{CH/FPD/PLATE/THICK}='S5') AND ([SelectedItem]{CH/FPD/CUST/STD}='A2') AND NOT([SelectedItem]{CH/FPD/LINE/SIZE} IN ('250','300'))",TRUE,2,Combination of Line size and Flange Rating is not compatible with 6mm plate thickness when using ARAMCO design standard,,,,,
8mm SHELL not 12in,"([SelectedItem]{CH/FPD/PRODUCT/DES}='C1','C2'.'C5') AND ([SelectedItem]{CH/FPD/PLATE/THICK}='S06') AND ([SelectedItem]{CH/FPD/CUST/STD}='S1') AND NOT([SelectedItem]{CH/FPD/LINE/SIZE} IN ('300'))",TRUE,2,Line size not compatible with 8mm plate thickness when using Shell design standard,,,,,
"10mm SHELL not 14in, 16in","([SelectedItem]{CH/FPD/PRODUCT/DES}='C1','C2'.'C5') AND ([SelectedItem]{CH/FPD/PLATE/THICK}='S07') AND ([SelectedItem]{CH/FPD/CUST/STD}='S1') AND NOT([SelectedItem]{CH/FPD/LINE/SIZE} IN ('350','400'))",TRUE,2,Line size not compatible with 10mm plate thickness when using Shell design standard,,,,,
10mm ARAMCO not 16in - 26in,"([SelectedItem]{CH/FPD/PRODUCT/DES}='C1','C2'.'C5') AND ([SelectedItem]{CH/FPD/PLATE/THICK}='S7') AND ([SelectedItem]{CH/FPD/CUST/STD}='A2') AND NOT([SelectedItem]{CH/FPD/LINE/SIZE} IN ('400','450','500','600','650'))",TRUE,2,Line size not compatible with 10mm plate thickness when using ARAMCO design standard,,,,,
10mm ARAMCO RTJ not 16in - 24in,"([SelectedItem]{CH/FPD/PRODUCT/DES} IN ('C3','C4')) AND ([SelectedItem]{CH/FPD/PLATE/THICK}='S07') AND ([SelectedItem]{CH/FPD/CUST/STD}='A2') AND NOT([SelectedItem]{CH/FPD/LINE/SIZE} IN ('400','450','500','600'))",TRUE,2,Line size not compatible with 10mm plate thickness when using ARAMCO design standard,,,,,
"12mm SHELL not 18in, 20in","([SelectedItem]{CH/FPD/PRODUCT/DES}='C1','C2'.'C5') AND ([SelectedItem]{CH/FPD/PLATE/THICK}='S8') AND ([SelectedItem]{CH/FPD/CUST/STD}='S1') AND NOT([SelectedItem]{CH/FPD/LINE/SIZE} IN ('450','500'))",TRUE,2,Line size not compatible with 12mm plate thickness when using Shell design standard,,,,,
SHELL,"([SelectedItem]{CH/FPD/PRODUCT/DES}='C1','C2'.'C5') AND ([SelectedItem]{CH/FPD/PLATE/THICK} IN ('T1','T2')) AND ([SelectedItem]{CH/FPD/CUST/STD}='S1')",TRUE,2,Plate thickness is not within Shell design standard - recommend switch to alternative thickness,,,,,
½in ARAMCO not 28in - 38in,"([SelectedItem]{CH/FPD/PRODUCT/DES}='C1','C2'.'C5') AND ([SelectedItem]{CH/FPD/PLATE/THICK}='T1') AND ([SelectedItem]{CH/FPD/CUST/STD}='A2') AND NOT([SelectedItem]{CH/FPD/LINE/SIZE} IN ('700','750','800','850','900','950'))",TRUE,2,Line size not compatible with ½in plate thickness when using ARAMCO design standard,,,,,
16mm SHELL not 24in,"([SelectedItem]{CH/FPD/PRODUCT/DES}='C1','C2'.'C5') AND ([SelectedItem]{CH/FPD/PLATE/THICK}='S10') AND ([SelectedItem]{CH/FPD/CUST/STD}='S1') AND NOT([SelectedItem]{CH/FPD/LINE/SIZE} IN ('600'))",TRUE,2,Line size not compatible with 16mm plate thickness when using Shell design standard,,,,,
"¾in ARAMCO not 40in, 42in","([SelectedItem]{CH/FPD/PRODUCT/DES}='C1','C2'.'C5') AND ([SelectedItem]{CH/FPD/PLATE/THICK}='T2') AND ([SelectedItem]{CH/FPD/CUST/STD}='A2') AND NOT([SelectedItem]{CH/FPD/LINE/SIZE} IN ('001','051'))",TRUE,2,Line size not compatible with ¾in plate thickness when using ARAMCO design standard,,,,,
SHELL > 24in,"([SelectedItem]{CH/FPD/PRODUCT/DES}='C1','C2'.'C5') AND ([SelectedItem]{CH/FPD/CUST/STD}='S1') AND ([SelectedItem]{CH/FPD/LINE/SIZE} IN ('650','700','750','800','850','900','950','001','051'))",TRUE,2,Line size is not within Shell design standard,,,,,
RTJ Gaskets,"([SelectedItem]{CH/FPD/PRODUCT/DES} IN ('C3','C4')) AND ([SelectedItem]{CH/FPD/GASKET} IS NULL)",TRUE,1,"For RTJ versions, a gasket material must be selected",,,,,
Added Req,(COUNT([SelectedItem]{CH/FPD/ADD/REQ}) > 0),TRUE,1,Please provide full detail of the added requirement(s) with enquiry/order ,,,,,
Plate/Gasket material mismatch,"([SelectedItem]{CH/FPD/PRODUCT/DES}='C4','C5') AND ([SelectedItem]{CH/FPD/ELEM/MAT} IS NOT NULL) AND (([SelectedItem]{CH/FPD/GASKET} IS NULL) OR ('G' + [SelectedItem]{CH/FPD/ELEM/MAT} <> [SelectedItem]{CH/FPD/GASKET}))",TRUE,4,For integral RTJ plates the gasket material must be selected and also must be the same as the plate material,,,,,
