ItemName,ShortName,EnglishUS,French,German,Spanish,Russian
CH/FPD/VALVE/MAT,<p>Select the material required for the valve (or tapping).</p>,,,,,
CH/FPD/PIPE/ORIENT,<p>Select the pipe orientation at the point of measurement and whether the pipe is circular or rectangular.</p>,,,,,
CH/FPD/ISO/VALVE,"<p>Select the size, type and material of any process isolation valve fitted (usually only an option on retractable models).</p>",,,,,
CH/FPD/TORBAR/DES,<p>Select any options required from the available list.</p>,,,,,
CH/FPD/TAPPING/SETS,"<p>Select the number of sets of DP connections required. Default is 1 set, for which no selection here is necessary.</p>",,,,,
CH/FPD/BOLT/TYPE/MAT,"<p>Select the material of the nuts and bolts. The materials appear in the order ""Bolt material / Nut material"".</p>",,,,,
CH/FPD/GASKET,<p>Select the type of the gaskets.</p>,,,,,
CH/FPD/FITT/ACC,<p>Select any accessories that may be required.</p>,,,,,
CH/FPD/SURFACE/TREAT,<p>Select from the list any special product treatments that are required.</p>,,,,,
CH/FPD/CERTIFICATION,<p><b>Certification</b><br/>ABB standard is usually 3.1 Material Certification. Only select 3.2 material certificates if <b>specifically</b> requested. For sour gas NACE is usually selected. Please select all that apply to meet the customer specifications.</p>,,,,,
CH/FPD/TESTING,"<p><b>Testing</b><br/>Only select if additional testing is required over and above the requirements of the standard material specification. If selected, full details must be provided in Calculation Notes box.</p>",,,,,
CH/FPD/DOC/LANG,"<p><b>Documentation Language</b><br/>English manuals are standard and will be supplied if not advised otherwise. If another language is selected, verify availability with factory.</p>",,,,,
CH/FPD/ADD/REQ,<p><b>Added Requirements</b><br/>Advise (in Calculation Notes box) if there are any other requirements but note that full details are required. If Material limitations are required please clarify full limits of the restrictions.</p>,,,,,
KFactor,<p>This is the meter factor for the chosen meter type and size. It is not adjustable.</p>,,,,,
IsoValveLength,"<p>This is the length of the chosen type and size of isolation valve. It should not be over-ridden unless it has been agreed with the factory that a special valve will be supplied, or alternatively that the customer is supplying the isolation valve. If over-ridden, the coding will revert to <b>VF9: Valve supplied by customer</b> and the only other valid selection would be <b>VZ9: Others</b><br/>. Use <b>VZ9</b><br/> when the factory is supplying a special valve; use <b>VF9</b><br/> if the customer is supplying their own isolation valve; in both cases enter the appropriate valve length.</p>",,,,,
StandoffLength,<p>This is the length of the chosen type and size of flanged stand-off. It should not be over-ridden unless the customer is supplying the stand-off or if a special stand-off extension has been agreed.</p>,,,,,
