Notes,Expression,SelectionOnly,RuleType,ShortName,EnglishUS,French,German,Spanish,Russian
FPD170: Beta/Reynolds @ meter max/Design (concentric:flange) minimum 2,"('[ProductCode]'='FPD170') AND ([SelectedItem]{CH/FPD/ORIFICE/DESIGN}='C2') AND ([Beta] IS NOT NULL) AND ([ReynoldsNoAtMeterMax] IS NOT NULL) AND ([ReynoldsNoAtMeterMax] < 170 * [Beta] * [Beta] * [PipeID]{length,PipeIDUnits} * 1000)",FALSE,2,"For Concentric plates with flange taps, Reynolds number must be >= 170 * Beta² * PipeID (in mm) - Reynolds number is less than the minimum limit for this product, please check the accuracy of the input data or consider decreasing the line size.",,,,,
"FPD170: Beta/Reynolds @ meter max/Design (segmental, eccentric) minimum","('[ProductCode]'='FPD170') AND ([SelectedItem]{CH/FPD/ORIFICE/DESIGN} IN ('S2','E1','E2','E3')) AND ([Beta] IS NOT NULL) AND ([ReynoldsNoAtMeterMax] IS NOT NULL) AND ([ReynoldsNoAtMeterMax] < (200000 * [Beta] * [Beta]))",FALSE,2,"For Segmental & Eccentric plates, Reynolds number must be >= 200000 * Beta² - Reynolds number is less than the minimum limit for this product, please check the accuracy of the input data or consider decreasing the line size.",,,,,
"FPD170: Beta/Reynolds @ meter max/Design (segmental, eccentric) maximum","('[ProductCode]'='FPD170') AND ([SelectedItem]{CH/FPD/ORIFICE/DESIGN} IN ('S2','E1','E2','E3')) AND ([Beta] IS NOT NULL) AND ([ReynoldsNoAtMeterMax] IS NOT NULL) AND ([ReynoldsNoAtMeterMax] > (1000000 * [Beta]))",FALSE,2,"For Segmental & Eccentric plates, Reynolds number must be <= 1000000 * Beta - Reynolds number is greater than the maximum limit for this product, please check the accuracy of the input data or consider increasing the line size.",,,,,
FPD170: Beta/Reynolds @ meter max/Design (quarter circle) maximum,"('[ProductCode]'='FPD170') AND ([SelectedItem]{CH/FPD/ORIFICE/DESIGN} IN ('U1','U2')) AND ([Beta] IS NOT NULL) AND ([ReynoldsNoAtMeterMax] IS NOT NULL) AND ([ReynoldsNoAtMeterMax] > (100000 * [Beta]))",FALSE,2,"For Quarter Circle plates, Reynolds number must be < 100000*Beta- Reynolds number is greater than the maximum limit for this product, please check the accuracy of the input data or consider increasing the line size.",,,,,
FPD170: Beta/Reynolds @ meter max/Design (quarter circle) minimum,"('[ProductCode]'='FPD170') AND ([SelectedItem]{CH/FPD/ORIFICE/DESIGN} IN ('U1','U2')) AND ([Beta] IS NOT NULL) AND ([ReynoldsNoAtMeterMax] IS NOT NULL) AND ([ReynoldsNoAtMeterMax] < ((1000 * [Beta]) + (9400000 * ([Beta] - 0.24)*([Beta] - 0.24)*([Beta] - 0.24)*([Beta] - 0.24)*([Beta] - 0.24)*([Beta] - 0.24)*([Beta] - 0.24)*([Beta] - 0.24))))",FALSE,2,"For Quarter Circle plates, Reynolds number must be >= 1000*Beta + 9.4E6*(Beta-0.24)^8 - Reynolds number is less than the minimum limit for this product, please check the accuracy of the input data or consider decreasing the line size.",,,,,
FPD170: Beta/Reynolds @ meter max/Design (conical) minimum,('[ProductCode]'='FPD170') AND ([SelectedItem]{CH/FPD/ORIFICE/DESIGN}='L1') AND ([ReynoldsNoAtMeterMax] IS NOT NULL) AND ([ReynoldsNoAtMeterMax] < 80),FALSE,2,"For Conical Entrance plates, Reynolds number must be >80 - Reynolds number is less than the minimum limit for this product, please check the accuracy of the input data or consider decreasing the line size.",,,,,
FPD170: Beta/Reynolds @ meter max/Design (conical) maximum,('[ProductCode]'='FPD170') AND ([SelectedItem]{CH/FPD/ORIFICE/DESIGN}='L1') AND ([Beta] IS NOT NULL) AND ([ReynoldsNoAtMeterMax] IS NOT NULL) AND ([ReynoldsNoAtMeterMax] > (200000 * [Beta])),FALSE,2,"For Conical Entrance plates, Reynolds number must be <200000 * Beta - Reynolds number is greater than the maximum limit for this product, please check the accuracy of the input data or consider increasing the line size.",,,,,
FPD170: Beta/Reynolds @ normal/Design (concentric:corner or D D/2)  minimum B<56,"('[ProductCode]'='FPD170') AND ([SelectedItem]{CH/FPD/ORIFICE/DESIGN} IN ('C1','C3')) AND ([Beta] IS NOT NULL) AND ([ReynoldsNoAtNormal] IS NOT NULL) AND ([Beta] <= 0.56) AND ([ReynoldsNoAtNormal] < 5000)",FALSE,2,"For Concentric plates with corner or (D + D/2) taps with Beta <= 0.56, Reynolds number (@ normal flow) must be >= 5000 - Reynolds number is less than the minimum limit for this product, please check the accuracy of the input data or consider decreasing the line size.",,,,,
FPD170: Beta/Reynolds @ normal/Design (concentric:flange) minimum 1,('[ProductCode]'='FPD170') AND ([SelectedItem]{CH/FPD/ORIFICE/DESIGN}='C2') AND ([ReynoldsNoAtNormal] IS NOT NULL) AND ([ReynoldsNoAtNormal] < 5000),FALSE,2,"For Concentric plates with Flange taps, Reynolds number (@ normal flow) must be >= 5000 - Reynolds number is less than the minimum limit for this product, please check the accuracy of the input data or consider decreasing the line size.",,,,,
FPD170: Beta/Reynolds @ normal/Design (concentric:flange) minimum 2,"('[ProductCode]'='FPD170') AND ([SelectedItem]{CH/FPD/ORIFICE/DESIGN}='C2') AND ([Beta] IS NOT NULL) AND ([ReynoldsNoAtNormal] IS NOT NULL) AND ([ReynoldsNoAtNormal] < 170 * [Beta] * [Beta] * [PipeID]{length,PipeIDUnits} * 1000)",FALSE,2,"For Concentric plates with Flange taps, Reynolds number (@ normal flow) must be >= 170 * Beta² * PipeID (in mm)",,,,,
"FPD170: Beta/Reynolds @ normal/Design (segmental, eccentric) minimum","('[ProductCode]'='FPD170') AND ([SelectedItem]{CH/FPD/ORIFICE/DESIGN} IN ('S2','E1','E2','E3')) AND ([Beta] IS NOT NULL) AND ([ReynoldsNoAtNormal] IS NOT NULL) AND ([ReynoldsNoAtNormal] < (200000 * [Beta] * [Beta]))",FALSE,2,"For Segmental & Eccentric plates, Reynolds number (@ normal flow) must be >= 200000 * Beta² - Reynolds number is less than the minimum limit for this product, please check the accuracy of the input data or consider decreasing the line size.",,,,,
"FPD170: Beta/Reynolds @ normal/Design (segmental, eccentric) maximum","('[ProductCode]'='FPD170') AND ([SelectedItem]{CH/FPD/ORIFICE/DESIGN} IN ('S2','E1','E2','E3')) AND ([Beta] IS NOT NULL) AND ([ReynoldsNoAtNormal] IS NOT NULL) AND ([ReynoldsNoAtNormal] > (1000000 * [Beta]))",FALSE,2,"For Segmental & Eccentric plates, Reynolds number (@ normal flow) must be <= 1000000 * Beta - Reynolds number is greater than the maximum limit for this product, please check the accuracy of the input data or consider increasing the line size.",,,,,
FPD170: Beta/Reynolds @ normal/Design (quarter circle) minimum,"('[ProductCode]'='FPD170') AND ([SelectedItem]{CH/FPD/ORIFICE/DESIGN} IN ('U1','U2')) AND ([Beta] IS NOT NULL) AND ([ReynoldsNoAtNormal] IS NOT NULL) AND ([ReynoldsNoAtNormal] < ((1000 * [Beta]) + (9400000 * ([Beta] - 0.24)*([Beta] - 0.24)*([Beta] - 0.24)*([Beta] - 0.24)*([Beta] - 0.24)*([Beta] - 0.24)*([Beta] - 0.24)*([Beta] - 0.24))))",FALSE,2,"For Quarter Circle plates, Reynolds number (@ normal flow) must be >= 1000*Beta + 9.4E6*(Beta-0.24)^8 - Reynolds number is less than the minimum limit for this product, please check the accuracy of the input data or consider decreasing the line size.",,,,,
FPD170: Beta/Reynolds @ normal/Design (conical) minimum,('[ProductCode]'='FPD170') AND ([SelectedItem]{CH/FPD/ORIFICE/DESIGN}='L1') AND ([ReynoldsNoAtNormal] IS NOT NULL) AND ([ReynoldsNoAtNormal] < 80),FALSE,2,"For Conical Entrance plates, Reynolds number (@ normal flow) must be >80 - Reynolds number is less than the minimum limit for this product, please check the accuracy of the input data or consider decreasing the line size.",,,,,
FPD170: Reynolds @ normal/Reynolds @ meter max,('[ProductCode]'='FPD170') AND ([ReynoldsNoAtNormal] IS NULL),FALSE,2,No normal flow provided; so Reynolds number for meter max flow used in checks.,,,,,
FPD170: Small bore and Design = L1,"('[ProductCode]'='FPD170') AND ([SelectedItem]{CH/FPD/ORIFICE/DES}='L1') AND ([MachinedBore]{Length,PipeIDUnits} is not null) AND ([MachinedBore]{Length,PipeIDUnits} <= 0.006)",FALSE,2,"For Conical Entrance plates, machined bore must be greater than 6 mm.",,,,,
"FPD170: Small bore and Design = C1, C2, C3","('[ProductCode]'='FPD170') AND ([SelectedItem]{CH/FPD/ORIFICE/DES} IN ('C1', 'C2', 'C3')) AND ([MachinedBore]{Length,PipeIDUnits} is not null) AND ([MachinedBore]{Length,PipeIDUnits} <= 0.0125)",FALSE,2,"For Concentric plates, machined bore must be greater than 12.5 mm.",,,,,
"FPD170: Small bore and Design = U1, U2","('[ProductCode]'='FPD170') AND ([SelectedItem]{CH/FPD/ORIFICE/DES} IN ('U1', 'U2')) AND ([MachinedBore]{Length,PipeIDUnits} is not null) AND ([MachinedBore]{Length,PipeIDUnits} <= 0.015)",FALSE,2,"For Quarter Circle plates, machined bore must be greater than 15 mm.",,,,,
"FPD170: Small bore and Design = E1, E2, E3","('[ProductCode]'='FPD170') AND ([SelectedItem]{CH/FPD/ORIFICE/DES} IN ('E1', 'E2', 'E3')) AND ([MachinedBore]{Length,PipeIDUnits} is not null) AND ([MachinedBore]{Length,PipeIDUnits} <= 0.05)",FALSE,2,"For Eccentric plates, machined bore must be greater than 50 mm.",,,,,
FPD170: Small bore and Design = S2,"('[ProductCode]'='FPD170') AND ([SelectedItem]{CH/FPD/ORIFICE/DES} = 'S2') AND ([MachinedBore]{Length,PipeIDUnits} is not null) AND ([MachinedBore]{Length,PipeIDUnits} <= 0.05)",FALSE,2,"For Segmental plates, machined bore must be greater than 50 mm.",,,,,
FPD170: Plate deflection,"('[ProductCode]'='FPD170') AND ([SelectedItem]{CH/FPD/PLATE/THICK,numvalue} < [PlateThicknessMin]{length,LengthOutputUnits})",TRUE,3,"Selected plate thickness is below the mimimum allowable plate thickness for deflection. Please select ""Z99"" others in the dropdown menu",,,,,
FPD170: Quarter circle radius,"('[ProductCode]'='FPD170') AND ([SelectedItem]{CH/FPD/PLATE/THICK,numvalue} < [QuarterCircleRadius]{length,LengthOutputUnits})",TRUE,3,"Please select a plate thickness greater than the calculated quarter circle radius or select ""Z99"" Others in the dropdown menu.",,,,,
FPD170: ABB,"('[ProductCode]'='FPD170') AND ([SelectedItem]{CH/FPD/PRODUCT/DES} IN ('C1','C2')) AND ([SelectedItem]{CH/FPD/PLATE/THICK} IN ('S01','S02','S04','S06','T1','T2')) AND ([SelectedItem]{CH/FPD/CUST/STD}='A1') ",TRUE,2,Plate thickness is not to the ABB standard - recommend switch to alternative thickness as follows : 3mm (up to 8 in. NB); 6mm (10 to 12 in. NB); 10mm (14 to 20 in. NB) - all subject to compliance with the Minimum Deflection Thickness shown in the calculation.,,,,,
FPD170: ARAMCO,"('[ProductCode]'='FPD170') AND ([SelectedItem]{CH/FPD/PRODUCT/DES} IN ('C1','C2')) AND ([SelectedItem]{CH/FPD/PLATE/THICK} IN ('S01','S02','S04','S06','S08','S10','T1')) AND ([SelectedItem]{CH/FPD/CUST/STD}='A2') ",TRUE,2,Plate thickness is not within ARAMCO design standard - recommend switch to alternative thickness.,,,,,
"FPD170: 1.5mm SHELL not ½, ¾, 1 or 1½in","('[ProductCode]'='FPD170') AND ([SelectedItem]{CH/FPD/PRODUCT/DES} IN ('C1','C2')) AND ([SelectedItem]{CH/FPD/PLATE/THICK}='S01') AND ([SelectedItem]{CH/FPD/CUST/STD}='S1') AND NOT([SelectedItem]{CH/FPD/LINE/SIZE} IN ('015','020','025','040'))",TRUE,2,Line size not compatible with 1.5 mm plate thickness when using Shell design standard.,,,,,
FPD170: 2mm SHELL not 2in,"('[ProductCode]'='FPD170') AND ([SelectedItem]{CH/FPD/PRODUCT/DES} IN ('C1','C2')) AND ([SelectedItem]{CH/FPD/PLATE/THICK}='S02') AND ([SelectedItem]{CH/FPD/CUST/STD}='S1') AND NOT([SelectedItem]{CH/FPD/LINE/SIZE} IN ('050'))",TRUE,2,Line size not compatible with 2 mm plate thickness when using Shell design standard.,,,,,
FPD170: 3mm SHELL not 3 or 4in,"('[ProductCode]'='FPD170') AND ([SelectedItem]{CH/FPD/PRODUCT/DES} IN ('C1','C2')) AND ([SelectedItem]{CH/FPD/PLATE/THICK}='S03') AND ([SelectedItem]{CH/FPD/CUST/STD}='S1') AND NOT([SelectedItem]{CH/FPD/LINE/SIZE} IN ('080','100'))",TRUE,2,Line size not compatible with 3 mm plate thickness when using Shell design standard.,,,,,
FPD170: 3mm ARAMCO not 2in to 8in,"('[ProductCode]'='FPD170') AND ([SelectedItem]{CH/FPD/PRODUCT/DES} IN ('C1','C2')) AND ([SelectedItem]{CH/FPD/PLATE/THICK}='S03') AND ([SelectedItem]{CH/FPD/CUST/STD}='A2') AND NOT([SelectedItem]{CH/FPD/LINE/SIZE} IN ('050','065','080','090','100','125','150','200'))",TRUE,2,Line size not compatible with 3 mm plate thickness when using ARAMCO design.,,,,,
FPD170: 4mm SHELL not 6in,"('[ProductCode]'='FPD170') AND ([SelectedItem]{CH/FPD/PRODUCT/DES} IN ('C1','C2')) AND ([SelectedItem]{CH/FPD/PLATE/THICK}='S04') AND ([SelectedItem]{CH/FPD/CUST/STD}='S1') AND NOT([SelectedItem]{CH/FPD/LINE/SIZE} IN ('150'))",TRUE,2,Line size not compatible with 4 mm plate thickness when using Shell design standard.,,,,,
FPD170: 6mm SHELL not 8in or 10in,"('[ProductCode]'='FPD170') AND ([SelectedItem]{CH/FPD/PRODUCT/DES} IN ('C1','C2')) AND ([SelectedItem]{CH/FPD/PLATE/THICK}='S05') AND ([SelectedItem]{CH/FPD/CUST/STD}='S1') AND NOT([SelectedItem]{CH/FPD/LINE/SIZE} IN ('200','250'))",TRUE,2,Line size not compatible with 6 mm plate thickness when using Shell design standard.,,,,,
FPD170: 6mm ARAMCO not 10in to 14in,"('[ProductCode]'='FPD170') AND ([SelectedItem]{CH/FPD/PRODUCT/DES} IN ('C1','C2')) AND ([SelectedItem]{CH/FPD/PLATE/THICK}='S05') AND ([SelectedItem]{CH/FPD/CUST/STD}='A2') AND NOT([SelectedItem]{CH/FPD/LINE/SIZE} IN ('250','300'))",TRUE,2,Combination of Line size and Flange Rating is not compatible with 6 mm plate thickness when using ARAMCO design standard.,,,,,
FPD170: 8mm SHELL not 12in,"('[ProductCode]'='FPD170') AND ([SelectedItem]{CH/FPD/PRODUCT/DES} IN ('C1','C2')) AND ([SelectedItem]{CH/FPD/PLATE/THICK}='S06') AND ([SelectedItem]{CH/FPD/CUST/STD}='S1') AND NOT([SelectedItem]{CH/FPD/LINE/SIZE} IN ('300'))",TRUE,2,Line size not compatible with 8 mm plate thickness when using Shell design standard.,,,,,
"FPD170: 10mm SHELL not 14in, 16in","('[ProductCode]'='FPD170') AND ([SelectedItem]{CH/FPD/PRODUCT/DES} IN ('C1','C2')) AND ([SelectedItem]{CH/FPD/PLATE/THICK}='S07') AND ([SelectedItem]{CH/FPD/CUST/STD}='S1') AND NOT([SelectedItem]{CH/FPD/LINE/SIZE} IN ('350','400'))",TRUE,2,Line size not compatible with 10 mm plate thickness when using Shell design standard.,,,,,
FPD170: 10mm ARAMCO not 16in - 26in,"('[ProductCode]'='FPD170') AND ([SelectedItem]{CH/FPD/PRODUCT/DES} IN ('C1','C2')) AND ([SelectedItem]{CH/FPD/PLATE/THICK}='S07') AND ([SelectedItem]{CH/FPD/CUST/STD}='A2') AND NOT([SelectedItem]{CH/FPD/LINE/SIZE} IN ('400','450','500','600','650'))",TRUE,2,Line size not compatible with 10 mm plate thickness when using ARAMCO design standard.,,,,,
"FPD170: 12mm SHELL not 18in, 20in","('[ProductCode]'='FPD170') AND ([SelectedItem]{CH/FPD/PRODUCT/DES} IN ('C1','C2')) AND ([SelectedItem]{CH/FPD/PLATE/THICK}='S08') AND ([SelectedItem]{CH/FPD/CUST/STD}='S1') AND NOT([SelectedItem]{CH/FPD/LINE/SIZE} IN ('450','500'))",TRUE,2,Line size not compatible with 12 mm plate thickness when using Shell design standard.,,,,,
FPD170: SHELL,"('[ProductCode]'='FPD170') AND ([SelectedItem]{CH/FPD/PRODUCT/DES} IN ('C1','C2')) AND ([SelectedItem]{CH/FPD/PLATE/THICK} IN ('T1','T2')) AND ([SelectedItem]{CH/FPD/CUST/STD}='S1')",TRUE,2,Plate thickness is not within Shell design standard - recommend switch to alternative thickness.,,,,,
FPD170: ½in ARAMCO not 28in - 38in,"('[ProductCode]'='FPD170') AND ([SelectedItem]{CH/FPD/PRODUCT/DES} IN ('C1','C2')) AND ([SelectedItem]{CH/FPD/PLATE/THICK}='T1') AND ([SelectedItem]{CH/FPD/CUST/STD}='A2') AND NOT([SelectedItem]{CH/FPD/LINE/SIZE} IN ('700','750','800','850','900','950'))",TRUE,2,Line size not compatible with ½ in. plate thickness when using ARAMCO design standard.,,,,,
FPD170: 16mm SHELL not 24in,"('[ProductCode]'='FPD170') AND ([SelectedItem]{CH/FPD/PRODUCT/DES} IN ('C1','C2')) AND ([SelectedItem]{CH/FPD/PLATE/THICK}='S10') AND ([SelectedItem]{CH/FPD/CUST/STD}='S1') AND NOT([SelectedItem]{CH/FPD/LINE/SIZE} IN ('600'))",TRUE,2,Line size not compatible with 16 mm plate thickness when using Shell design standard.,,,,,
"FPD170: ¾in ARAMCO not 40in, 42in","('[ProductCode]'='FPD170') AND ([SelectedItem]{CH/FPD/PRODUCT/DES} IN ('C1','C2')) AND ([SelectedItem]{CH/FPD/PLATE/THICK}='T2') AND ([SelectedItem]{CH/FPD/CUST/STD}='A2') AND NOT([SelectedItem]{CH/FPD/LINE/SIZE} IN ('001','051'))",TRUE,2,Line size not compatible with ¾ in. plate thickness when using ARAMCO design standard.,,,,,
FPD170: SHELL > 24in,"('[ProductCode]'='FPD170') AND ([SelectedItem]{CH/FPD/PRODUCT/DES} IN ('C1','C2')) AND ([SelectedItem]{CH/FPD/CUST/STD}='S1') AND ([SelectedItem]{CH/FPD/LINE/SIZE} IN ('650','700','750','800','850','900','950','001','051'))",TRUE,2,Line size is not within Shell design standard.,,,,,
FPD170: Added Req,('[ProductCode]'='FPD170') AND (COUNT([SelectedItem]{CH/FPD/ADD/REQ}) > 0),TRUE,1,Please provide full detail of the added requirement(s) with enquiry/order.,,,,,
FPD170: No Computation Multi-Hole,"('[ProductCode]'='FPD170') AND ([SelectedItem]{CH/FPD/ORIFICE/DESIGN} IN ('C5','C6'))",FALSE,5,Results for Multi-hole orifice plates are calculated by vendor using the supplied process data. For more information please contact your sales representative.,,,,,
FPD170: Drain / Vent other than square edge plates outside scope of selected standard,"('[ProductCode]'='FPD170') AND ([SelectedItem]{CH/FPD/ORIFICE/DESIGN} IN ('L1','E1','E2','E3','U1','U2','S2')) AND ([SelectedItem]{CH/FPD/DRAIN/VENT} IN ('HT1','HT2'))",TRUE,2,"Drain/Vent holes in Orifice Design L1, E1, E2, E3, U1, U2, S2 are not covered by selected standard.",,,,,
FPD170: Drain / Vent outside scope of selected standard AGA3,"('[ProductCode]'='FPD170') AND ([SelectedItem]{CH/FPD/ORIFICE/DESIGN} IN ('C1','C2','C3','L1','E1','E2','E3','U1','U2','S2')) AND ([SelectedItem]{CH/FPD/DRAIN/VENT} IN ('HT1','HT2')) AND ([SelectedItem]{Calculation Type} = '3')",TRUE,2,"Drain/Vent holes in Orifice Design C1, C2, C3, L1, E1, E2, E3, U1, U2, S2 are not covered by selected standard.",,,,,
FPD170: Drain vent (100mm OD required),"('[ProductCode]'='FPD170') AND ([SelectedItem]{CH/FPD/DRAIN/VENT} IN ('HT1','HT2')) AND ([PipeID]{length,PipeIDUnits} <= 0.1)",TRUE,2,ISO 5167 requires line ID to be => 100 mm for the use of drain or vent hole.,,,,,
FPD170: Drain vent <10% of machined bore (custom sizes only),"('[ProductCode]'='FPD170') AND ([SelectedItem]{CH/FPD/DRAIN/VENT} IN ('HT1','HT2')) AND ([DrainVentSize]{Length,DrainVentSizeUnits} > 0.1 * [MachinedBore]{Length,LengthOutputUnits})",TRUE,2,The diameter of the Drain/Vent hole should not exceed 1/10th of bore,,,,,
FPD170: Drain vent <10% of machined bore (pre-set sizes only),"('[ProductCode]'='FPD170') AND (([SelectedItem]{CH/FPD/DRAIN/VENT} IN ('HT1','HT2')) AND ([SelectedItem]{CH/FPD/DRAIN/VENT/SIZE,numvalue} > 0.1 * [MachinedBore]{Length,LengthOutputUnits}))",FALSE,3,Drain/Vent cannot be greater than 1/10th of bore.,,,,,
FPD170: Tapping orientation = inclined up,('[ProductCode]'='FPD170') AND ([FluidCategory] <> 2) AND ([SelectedItem]{CH/FPD/TAPPING/ORIENT} = 'TG2'),FALSE,2,Inclined Up TG2 - Please consider your tapping orientation selection - Inclined up is recommended for all gas applications to ensure condensate drains back into the pipe and does not collect in impulse pipes.,,,,,
FPD170: Tapping orientation = horizontal,"('[ProductCode]'='FPD170') AND ([FluidCategory] IN (1, 2)) AND ([SelectedItem]{CH/FPD/TAPPING/ORIENT} = 'TG3')",FALSE,2,Horizontal TG3 - Please consider your tapping orientation - Recommended for all steam applications.,,,,,
FPD170: Tapping orientation = inclined down,('[ProductCode]'='FPD170') AND ([FluidCategory] <> 1) AND ([SelectedItem]{CH/FPD/TAPPING/ORIENT} = 'TG4'),FALSE,2,Inclined Down TG4 - Please consider your tapping orientation - Recommended for all liquid applications to ensure gas vents back into the pipe and does not collect in impulse pipes.,,,,,
FPD170: DP warning,"('[ProductCode]'='FPD170') AND (ISNULL([MinimumFlow],-1)<0)",FALSE,1,As no minimum flow has been provided turndown checks will not be completed.,,,,,
FPD170: DP warning,"('[ProductCode]'='FPD170') AND ([MinimumFlow]{flow,MinimumFlowUnits} < 0.25 * [MeterMaxFlow]{flow, MeterMaxFlowUnits})",FALSE,2,Flow measurement range “Turndown” is greater than 4:1. We recommend that you ensure that any transmitter used with this meter will have sufficient accuracy at your specified Normal and Minimum flowrates.,,,,,
FPD175: Min temp OriMaster,"('[ProductCode]'='FPD175') AND ([OperatingTemperature]{temperature,OperatingTemperatureUnits}<253) AND ([FluidCategory]<3)",FALSE,3,Minimum temperature for OriMaster for gas/liquid is -20°C,,,,,
FPD175: Max temp OriMaster,"('[ProductCode]'='FPD175') AND ([OperatingTemperature]{temperature,OperatingTemperatureUnits}>394) AND ([FluidCategory]<3)",FALSE,2,"Upper limit of transmitter temperature range: please check the limits of your transmitter if direct mount; If remote mount, please check that graphite seals are used in manifold if temperature is above 200°C",,,,,
FPD175: Min temp OriMaster,"('[ProductCode]'='FPD175') AND ([OperatingTemperature]{temperature,OperatingTemperatureUnits}<253) AND ([FluidCategory]=3) AND ('[FluidName]'='Steam (Saturated)')",FALSE,3,Minimum temperature for OriMaster for steam is -20°C,,,,,
FPD175: Max temp OriMaster,"('[ProductCode]'='FPD175') AND ([OperatingTemperature]{temperature,OperatingTemperatureUnits}>503) AND ([FluidCategory]=3) AND ('[FluidName]'='Steam (Saturated)')",FALSE,2,"Upper limit of transmitter temperature range: please check the limits of your transmitter if direct mount; If remote mount, please check that graphite seals are used in manifold if temperature is above 200°C",,,,,
FPD175: ,"('[ProductCode]'='FPD175') AND ([OperatingPressure]{pressure,OperatingPressureUnits}>10101300.25)",FALSE,3,Operating pressure exceeds max. static pressure (100 Bar g),,,,,
FPD175: ,"('[ProductCode]'='FPD175') AND (([OperatingPressure]{Pressure,OperatingPressureUnits}-[DPAtMeterMax]{DP,DPUnits})/[OperatingPressure]{Pressure,OperatingPressureUnits}<0.75)",FALSE,2,Differential pressure too high,,,,,
