"Expression","RuleType","SelectionOnly","ShortName","Notes"
"([SelectedItem]{CH/FPD58/STAND/ACC}='K4') AND ((([DesignTemperatureMax]{temperature,OperatingTemperatureUnits} IS NOT NULL) AND ([DesignTemperatureMax]{temperature,OperatingTemperatureUnits} > 1073)) OR ([OperatingTemperature]{temperature,OperatingTemperatureUnits}>1073))",3,False,"Gasket type not suitable when stack temperature is greater than 800°C.",
"NOT('TP1' IN ([SelectedItem]{CH/FPD58/PROBE/DES})) AND ([PipeID]{length,PipeIDUnits}>5.0)",2,False,"Two-piece construction is needed for stack ID greater than 5m.",
"NOT('TP7' IN ([SelectedItem]{CH/FPD58/PROBE/DES})) AND ([SelectedItem]{CH/FPD58/PROBE/MATERIAL}='S6') AND ((([DesignTemperatureMax]{temperature,OperatingTemperatureUnits} IS NOT NULL) AND ([DesignTemperatureMax]{temperature,OperatingTemperatureUnits} > 823)) OR ([OperatingTemperature]{temperature,OperatingTemperatureUnits}>823))",2,False,"Bayonet fitting is needed for stack temperature greater than 550°C.",
"NOT('TP7' IN ([SelectedItem]{CH/FPD58/PROBE/DES})) AND ([SelectedItem]{CH/FPD58/PROBE/MATERIAL}='S1') AND ((([DesignTemperatureMax]{temperature,OperatingTemperatureUnits} IS NOT NULL) AND ([DesignTemperatureMax]{temperature,OperatingTemperatureUnits} > 823)) OR ([OperatingTemperature]{temperature,OperatingTemperatureUnits}>823))",2,False,"Bayonet fitting is needed for stack temperature greater than 550°C.",
"NOT('TP7' IN ([SelectedItem]{CH/FPD58/PROBE/DES})) AND ([SelectedItem]{CH/FPD58/PROBE/MATERIAL}='N2') AND ((([DesignTemperatureMax]{temperature,OperatingTemperatureUnits} IS NOT NULL) AND ([DesignTemperatureMax]{temperature,OperatingTemperatureUnits} > 1173)) OR ([OperatingTemperature]{temperature,OperatingTemperatureUnits}>1173))",2,False,"Bayonet fitting is needed for stack temperature greater than 900°C.",
"NOT('HC2' IN ([SelectedItem]{CH/FPD58/INTERFACE/HEATER})) AND ([OperatingTemperature]{temperature,OperatingTemperatureUnits}<273)",2,False,"Heater is recommended for ambient temperatures less than 0°C.",
"(([DesignTemperatureMax]{temperature,OperatingTemperatureUnits} IS NOT NULL) AND ([OperatingTemperature]{temperature,OperatingTemperatureUnits}>[DesignTemperatureMax]{temperature,OperatingTemperatureUnits}))",3,False,"Design Temperature must be greater than or equal to the Operating Temperature.",
"([DesignTemperatureMax]{temperature,OperatingTemperatureUnits} IS NULL)",2,False,"Design Temperature not supplied - all calculations and suitability checks using Operating Temperature.",
"([DesignTemperatureMax]{temperature,OperatingTemperatureUnits} IS NOT NULL)",1,False,"Design Temperature used in suitability checks.",
"(([InstallUpstreamLength]{length,InstallUpstreamLengthUnits} IS NOT NULL) AND ([InstallUpstreamLength]{length,InstallUpstreamLengthUnits} < 8.0 * [PipeID]{length,PipeIDUnits}))",2,False,"For good flow measurement at least 8*ID straight lengths upstream of the installation point are required.",
"NOT('TP2' IN ([SelectedItem]{CH/FPD58/PROBE/DES})) AND ([InstallAccessLength]{length,InstallAccessLengthUnits} IS NOT NULL) AND ([InstallAccessLength]{length,InstallAccessLengthUnits} < (0.28 + [UnsupportedLength]{length,LengthOutputUnits} + [FlangeStandoff]{length,FlangeStandoffUnits}))",2,False,"There may not be enough room for installation. Please check if two-piece construction (TP1) would be more suitable.",
"NOT('0' IN ([SelectedItem]{CH/FPD58/STAND})) AND ([SelectedItem]{CH/FPD58/CONN/SIZE}='040') AND ([SelectedItem]{CH/FPD58/CONN/RATING}='A1F') AND ([FlangeStandoff]{length,FlangeStandoffUnits}<0.095)",2,False,"Flange standoff length is less than standard length - 95 mm",
"NOT('0' IN ([SelectedItem]{CH/FPD58/STAND})) AND ([SelectedItem]{CH/FPD58/CONN/SIZE}='050') AND ([SelectedItem]{CH/FPD58/CONN/RATING}='A1F') AND ([FlangeStandoff]{length,FlangeStandoffUnits}<0.102)",2,False,"Flange standoff length is less than standard length - 102 mm",
"NOT('0' IN ([SelectedItem]{CH/FPD58/STAND})) AND ([SelectedItem]{CH/FPD58/CONN/SIZE}='080') AND ([SelectedItem]{CH/FPD58/CONN/RATING}='A1F') AND ([FlangeStandoff]{length,FlangeStandoffUnits}<0.118)",2,False,"Flange standoff length is less than standard length - 118 mm",
"NOT('0' IN ([SelectedItem]{CH/FPD58/STAND})) AND ([SelectedItem]{CH/FPD58/CONN/SIZE}='100') AND ([SelectedItem]{CH/FPD58/CONN/RATING}='A1F') AND ([FlangeStandoff]{length,FlangeStandoffUnits}<0.150)",2,False,"Flange standoff length is less than standard length - 150 mm",
"NOT('0' IN ([SelectedItem]{CH/FPD58/STAND})) AND ([SelectedItem]{CH/FPD58/CONN/SIZE}='150') AND ([SelectedItem]{CH/FPD58/CONN/RATING}='A1F') AND ([FlangeStandoff]{length,FlangeStandoffUnits}<0.150)",2,False,"Flange standoff length is less than standard length - 150 mm",
"NOT('0' IN ([SelectedItem]{CH/FPD58/STAND})) AND ([SelectedItem]{CH/FPD58/CONN/SIZE}='040') AND ([SelectedItem]{CH/FPD58/CONN/RATING}='D1F') AND ([FlangeStandoff]{length,FlangeStandoffUnits}<0.078)",2,False,"Flange standoff length is less than standard length - 78 mm",
"NOT('0' IN ([SelectedItem]{CH/FPD58/STAND})) AND ([SelectedItem]{CH/FPD58/CONN/SIZE}='050') AND ([SelectedItem]{CH/FPD58/CONN/RATING}='D1F') AND ([FlangeStandoff]{length,FlangeStandoffUnits}<0.086)",2,False,"Flange standoff length is less than standard length - 86 mm",
"NOT('0' IN ([SelectedItem]{CH/FPD58/STAND})) AND ([SelectedItem]{CH/FPD58/CONN/SIZE}='080') AND ([SelectedItem]{CH/FPD58/CONN/RATING}='D1F') AND ([FlangeStandoff]{length,FlangeStandoffUnits}<0.098)",2,False,"Flange standoff length is less than standard length - 98 mm",
"NOT('0' IN ([SelectedItem]{CH/FPD58/STAND})) AND ([SelectedItem]{CH/FPD58/CONN/SIZE}='100') AND ([SelectedItem]{CH/FPD58/CONN/RATING}='D1F') AND ([FlangeStandoff]{length,FlangeStandoffUnits}<0.150)",2,False,"Flange standoff length is less than standard length - 150 mm",
"NOT('0' IN ([SelectedItem]{CH/FPD58/STAND})) AND ([SelectedItem]{CH/FPD58/CONN/SIZE}='150') AND ([SelectedItem]{CH/FPD58/CONN/RATING}='D1F') AND ([FlangeStandoff]{length,FlangeStandoffUnits}<0.150)",2,False,"Flange standoff length is less than standard length - 150 mm",
"('5' IN ([SelectedItem]{CH/FPD58/DPTX/MOUNT})) AND ((([DesignTemperatureMax]{temperature,OperatingTemperatureUnits} IS NOT NULL) AND ([DesignTemperatureMax]{temperature,OperatingTemperatureUnits} > 493)) OR ([OperatingTemperature]{temperature,OperatingTemperatureUnits} > 493))",3,False,"Temperature too high (>220°C) for DP Transmitter mounting with 5 valve manifold connections.",
"([SelectedItem]{CH/FPD58/DPTXSPAN/LIMITS}='A') AND ([DPatMeterMax]{DP,DPUnits} > 1000)",3,False,"Differential pressure too high for cell range ""A"" (> 10 mBar).",
"([SelectedItem]{CH/FPD58/DPTXSPAN/LIMITS}='C') AND ([DPatMeterMax]{DP,DPUnits} > 6000)",3,False,"Differential pressure too high for cell range ""C"" (> 60 mBar).",
"(ISNULL([NormalFlow], 0) <= 0)",2,False,"As no normal flowrate figure has been entered, the software is unable to carry out a critical resonance (wake) test.","CriticalFlow"
"([CriticalVL] <= [VelocityNormalFlow]) AND ([VelocityNormalFlow] <= [CriticalVH])",3,False,"Velocity at normal flow is between critical velocities.","CriticalFlow"
"(ISNULL([MinimumFlow],-1)<0)",1,False,"As no minimum flow has been provided turndown checks will not be completed.","DP warning"
"[MinimumFlow]{flow,MinimumFlowUnits} < 0.25 * [MeterMaxFlow]{flow, MeterMaxFlowUnits}",2,False,"Flow measurement range “Turndown” is greater than 4:1.  We recommend that you ensure that any transmitter used with this meter will have sufficient accuracy at your specified Normal and Minimum flowrates.","DP warning"
"([ReynoldsNoAtMeterMax] is not null) AND ([ReynoldsNoAtMeterMax] > 100000000)",4,False,"Reynolds number is greater than the limit 100,000,000 for any type of differential pressure flow metering. No other type of flow meter in this software package is suitable for such a condition. Please check the accuracy of the input data, consider decreasing the reynolds number by increasing the line size.","Max Reynolds for All products"
"[DPAtMeterMax]{DP,DPUnits} < 125",3,False,"Note: DP is low - check transmitter suitable for these conditions.","DP / transmitter warning"
"([IsentropicIndex] IS NULL AND [FluidCategory]=4)",1,False,"Please supply isentropic index.","Isentropic Index Missing"
