CharacteristicCode_Logic,Active,Description,UnsupportedLengthEquation_m,MassEquation_kg,,,,,,,,
CH/FPD/PRODUCT/DES=L7 AND CH/FPD/MOUNTING=T2,TRUE,L702,ID+(2.0*WALL)+0.1,2.56+(9.0*ID),,,,,,,,
CH/FPD/PRODUCT/DES=H7 AND CH/FPD/MOUNTING=T1,TRUE,H701,ID+WALL+0.05,5+(15.0*ID),,,,,,,,
CH/FPD/PRODUCT/DES=H7 AND CH/FPD/MOUNTING=T2,TRUE,H702,ID+(2.0*WALL)+0.1,5.65+(15.0*ID),,,,,,,,
CH/FPD/PRODUCT/DES=H7 AND CH/FPD/END/SUPT=E1 AND (CH/FPD/MOUNTING=F1 OR CH/FPD/MOUNTING=F7),TRUE,H711,ID+WALL+SO+LV+0.05,6.5+(41.0*ID)+SO_mass+LV_mass,,,,,,,,
CH/FPD/PRODUCT/DES=H7 AND CH/FPD/END/SUPT=E2 AND (CH/FPD/MOUNTING=F2 OR CH/FPD/MOUNTING=F3 OR CH/FPD/MOUNTING=F4 OR CH/FPD/MOUNTING=F5 OR CH/FPD/MOUNTING=F6 OR CH/FPD/MOUNTING=F7),TRUE,H712,ID+(2.0*WALL)+SO+LV+0.1,6.95+(41.0*ID)+SO_mass+LV_mass,,,,,,,,
CH/FPD/PRODUCT/DES=H7 AND CH/FPD/END/SUPT=E2 AND (CH/FPD/MOUNTING=F3 OR CH/FPD/MOUNTING=F4 OR CH/FPD/MOUNTING=F5 OR CH/FPD/MOUNTING=F6),TRUE,H712,SO-0.06,SO_mass,,,,,,,,
CH/FPD/PRODUCT/DES=H8 AND CH/FPD/END/SUPT=E1 AND (CH/FPD/MOUNTING=F1 OR CH/FPD/MOUNTING=F7),TRUE,H811,ID+WALL+SO+LV+0.05,20+(100.0*ID)+SO_mass+LV_mass,,,,,,,,
CH/FPD/PRODUCT/DES=H8 AND CH/FPD/END/SUPT=E2 AND (CH/FPD/MOUNTING=F2 OR CH/FPD/MOUNTING=F3 OR CH/FPD/MOUNTING=F4 OR CH/FPD/MOUNTING=F5 OR CH/FPD/MOUNTING=F6 OR CH/FPD/MOUNTING=F7),TRUE,H812,ID+(2.0*WALL)+SO+LV+0.13,20.5+(100.0*ID)+SO_mass+LV_mass,,,,,,,,
CH/FPD/PRODUCT/DES=H8 AND CH/FPD/END/SUPT=E2 AND (CH/FPD/MOUNTING=F3 OR CH/FPD/MOUNTING=F4 OR CH/FPD/MOUNTING=F5 OR CH/FPD/MOUNTING=F6),TRUE,H812,SO-0.10,SO_mass,,,,,,,,
CH/FPD/TORBAR/DES=TP4,TRUE,Gear retract,,4,,,,,,,,
CH/FPD/TAPPING/TYPE=D1,TRUE,0vdm,,0.5,,,,,,,,
CH/FPD/TAPPING/TYPE=D4,TRUE,3vdm,,1.25,,,,,,,,
CH/FPD/TAPPING/TYPE=D5,TRUE,5vdm,,1.6,,,,,,,,
CH/FPD/TAPPING/TYPE=D2,TRUE,dm3v,,1.25,,,,,,,,
CH/FPD/TAPPING/TYPE=D3,TRUE,dm5v,,1.6,,,,,,,,
CH/FPD/TEMP=T1,TRUE,NRTB,,1,,,,,,,,
CH/FPD/TEMP=T2,TRUE,NRTT,,1,,,,,,,,
CH/FPD/TEMP=T3,TRUE,NMTT,,1,,,,,,,,
CH/FPD/TEMP=T4,TRUE,NMTB,,1,,,,,,,,
CH/FPD/TAPPING/TYPE=F1 AND CH/FPD/TAPPING/SIZE=F1 AND CH/FPD/VALVE/MAT=S6,TRUE,DP con 009,,1,,,,,,,,
CH/FPD/TAPPING/TYPE=V1 AND CH/FPD/TAPPING/SIZE=T2 AND CH/FPD/VALVE/MAT=S6,TRUE,SB3,,1,,,,,,,,
CH/FPD/TAPPING/TYPE=V1 AND CH/FPD/TAPPING/SIZE=T4 AND CH/FPD/VALVE/MAT=S6,TRUE,SB4,,1,,,,,,,,
CH/FPD/TAPPING/TYPE=V1 AND CH/FPD/TAPPING/SIZE=T6 AND CH/FPD/VALVE/MAT=S6,TRUE,SB7,,1,,,,,,,,
CH/FPD/TAPPING/TYPE=V1 AND CH/FPD/TAPPING/SIZE=T8 AND CH/FPD/VALVE/MAT=S6,TRUE,SB8,,1,,,,,,,,
CH/FPD/TAPPING/TYPE=V2 AND CH/FPD/TAPPING/SIZE=T2 AND CH/FPD/VALVE/MAT=S6,TRUE,SV3,,1,,,,,,,,
CH/FPD/TAPPING/TYPE=V2 AND CH/FPD/TAPPING/SIZE=T4 AND CH/FPD/VALVE/MAT=S6,TRUE,SV4,,1,,,,,,,,
CH/FPD/TAPPING/TYPE=V2 AND CH/FPD/TAPPING/SIZE=T6 AND CH/FPD/VALVE/MAT=S6,TRUE,SV7,,1,,,,,,,,
CH/FPD/TAPPING/TYPE=V2 AND CH/FPD/TAPPING/SIZE=T8 AND CH/FPD/VALVE/MAT=S6,TRUE,SV8,,1,,,,,,,,
CH/FPD/TAPPING/TYPE=V2 AND CH/FPD/TAPPING/SIZE=F1 AND CH/FPD/VALVE/MAT=S6,TRUE,SV9,,1,,,,,,,,
CH/FPD/TAPPING/TYPE=V2 AND CH/FPD/TAPPING/SIZE=T2 AND CH/FPD/VALVE/MAT=M4,TRUE,MV3,,1,,,,,,,,
CH/FPD/TAPPING/TYPE=V2 AND CH/FPD/TAPPING/SIZE=T4 AND CH/FPD/VALVE/MAT=M4,TRUE,MV4,,1,,,,,,,,
CH/FPD/TAPPING/TYPE=V2 AND CH/FPD/TAPPING/SIZE=T6 AND CH/FPD/VALVE/MAT=M4,TRUE,MV7,,1,,,,,,,,
CH/FPD/TAPPING/TYPE=V2 AND CH/FPD/TAPPING/SIZE=T8 AND CH/FPD/VALVE/MAT=M4,TRUE,MV8,,1,,,,,,,,
CH/FPD/TAPPING/TYPE=V3 AND CH/FPD/TAPPING/SIZE=T2 AND CH/FPD/VALVE/MAT=S6,TRUE,SG3,,1,,,,,,,,
CH/FPD/TAPPING/TYPE=V3 AND CH/FPD/TAPPING/SIZE=T4 AND CH/FPD/VALVE/MAT=S6,TRUE,SG4,,1,,,,,,,,
CH/FPD/TAPPING/TYPE=V3 AND CH/FPD/TAPPING/SIZE=T6 AND CH/FPD/VALVE/MAT=S6,TRUE,SG7,,1,,,,,,,,
CH/FPD/TAPPING/TYPE=V3 AND CH/FPD/TAPPING/SIZE=T8 AND CH/FPD/VALVE/MAT=S6,TRUE,SG8,,1,,,,,,,,
CH/FPD/TAPPING/TYPE=V3 AND CH/FPD/TAPPING/SIZE=F1 AND CH/FPD/VALVE/MAT=S6,TRUE,SG9,,1,,,,,,,,
CH/FPD/TAPPING/TYPE=V4 AND CH/FPD/TAPPING/SIZE=S1 AND CH/FPD/VALVE/MAT=C3,TRUE,CL6,,1,,,,,,,,
CH/FPD/TAPPING/TYPE=V4 AND CH/FPD/TAPPING/SIZE=T6 AND CH/FPD/VALVE/MAT=C3,TRUE,CL7,,1,,,,,,,,
CH/FPD/TAPPING/TYPE=V5 AND CH/FPD/TAPPING/SIZE=T6 AND CH/FPD/VALVE/MAT=S6,TRUE,SVD,,1,,,,,,,,
CH/FPD/MOUNTING=F3 OR CH/FPD/MOUNTING=F5,TRUE,ES/FS External,,SO_mass,,,,,,,,
CH/FPD/MOUNTING=F4 OR CH/FPD/MOUNTING=F6,TRUE,ES/FS Internal,,SO_mass,,,,,,,,
CH/FPD/MOUNTING=F8,TRUE,ES/FS customer supplied,,SO_mass,,,,,,,,
(CH/FPD/END/CONN/TYPE=R3) AND (CH/FPD/END/CONN/RAT=A1) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"1"" 150lb RF",,0.9,,,,,,,,
(CH/FPD/END/CONN/TYPE=R3) AND (CH/FPD/END/CONN/RAT=A3) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"1"" 300lb RF",,1.4,,,,,,,,
(CH/FPD/END/CONN/TYPE=R3) AND (CH/FPD/END/CONN/RAT=A6) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"1"" 600lb RF",,1.6,,,,,,,,
(CH/FPD/END/CONN/TYPE=R3) AND (CH/FPD/END/CONN/RAT=A7) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"1"" 900lb RF",,,,,,,,,,
(CH/FPD/END/CONN/TYPE=R3) AND (CH/FPD/END/CONN/RAT=A8) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"1"" 1500lb RF",,,,,,,,,,
(CH/FPD/END/CONN/TYPE=F3) AND (CH/FPD/END/CONN/RAT=A1) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"1"" 150lb FF",,0.9,,,,,,,,
(CH/FPD/END/CONN/TYPE=F3) AND (CH/FPD/END/CONN/RAT=A3) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"1"" 300lb FF",,1.4,,,,,,,,
(CH/FPD/END/CONN/TYPE=F3) AND (CH/FPD/END/CONN/RAT=A6) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"1"" 600lb FF",,1.6,,,,,,,,
(CH/FPD/END/CONN/TYPE=F3) AND (CH/FPD/END/CONN/RAT=A7) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"1"" 900lb FF",,,,,,,,,,
(CH/FPD/END/CONN/TYPE=F3) AND (CH/FPD/END/CONN/RAT=A8) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"1"" 1500lb FF",,,,,,,,,,
(CH/FPD/END/CONN/TYPE=J1) AND (CH/FPD/END/CONN/RAT=A1) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"1"" 150lb RTJ",,0.9,,,,,,,,
(CH/FPD/END/CONN/TYPE=J1) AND (CH/FPD/END/CONN/RAT=A3) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"1"" 300lb RTJ",,1.4,,,,,,,,
(CH/FPD/END/CONN/TYPE=J1) AND (CH/FPD/END/CONN/RAT=A6) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"1"" 600lb RTJ",,1.6,,,,,,,,
(CH/FPD/END/CONN/TYPE=J1) AND (CH/FPD/END/CONN/RAT=A7) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"1"" 900lb RTJ",,,,,,,,,,
(CH/FPD/END/CONN/TYPE=J1) AND (CH/FPD/END/CONN/RAT=A8) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"1"" 1500lb RTJ",,,,,,,,,,
(CH/FPD/END/CONN/TYPE=R4) AND (CH/FPD/END/CONN/RAT=A1) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"1½"" 150lb RF",,1.36,,,,,,,,
(CH/FPD/END/CONN/TYPE=R4) AND (CH/FPD/END/CONN/RAT=A3) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"1½"" 300lb RF",,3,,,,,,,,
(CH/FPD/END/CONN/TYPE=R4) AND (CH/FPD/END/CONN/RAT=A6) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"1½"" 600lb RF",,3,,,,,,,,
(CH/FPD/END/CONN/TYPE=R4) AND (CH/FPD/END/CONN/RAT=A7) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"1½"" 900lb RF",,,,,,,,,,
(CH/FPD/END/CONN/TYPE=R4) AND (CH/FPD/END/CONN/RAT=A8) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"1½"" 1500lb RF",,6.35,,,,,,,,
(CH/FPD/END/CONN/TYPE=F4) AND (CH/FPD/END/CONN/RAT=A1) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"1½"" 150lb FF",,1.36,,,,,,,,
(CH/FPD/END/CONN/TYPE=F4) AND (CH/FPD/END/CONN/RAT=A3) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"1½"" 300lb FF",,3,,,,,,,,
(CH/FPD/END/CONN/TYPE=F4) AND (CH/FPD/END/CONN/RAT=A6) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"1½"" 600lb FF",,3,,,,,,,,
(CH/FPD/END/CONN/TYPE=F4) AND (CH/FPD/END/CONN/RAT=A7) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"1½"" 900lb FF",,,,,,,,,,
(CH/FPD/END/CONN/TYPE=F4) AND (CH/FPD/END/CONN/RAT=A8) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"1½"" 1500lb FF",,6.35,,,,,,,,
(CH/FPD/END/CONN/TYPE=J2) AND (CH/FPD/END/CONN/RAT=A1) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"1½"" 150lb RTJ",,1.36,,,,,,,,
(CH/FPD/END/CONN/TYPE=J2) AND (CH/FPD/END/CONN/RAT=A3) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"1½"" 300lb RTJ",,3,,,,,,,,
(CH/FPD/END/CONN/TYPE=J2) AND (CH/FPD/END/CONN/RAT=A6) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"1½"" 600lb RTJ",,3,,,,,,,,
(CH/FPD/END/CONN/TYPE=J2) AND (CH/FPD/END/CONN/RAT=A7) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"1½"" 900lb RTJ",,,,,,,,,,
(CH/FPD/END/CONN/TYPE=J2) AND (CH/FPD/END/CONN/RAT=A8) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"1½"" 1500lb RTJ",,6.35,,,,,,,,
(CH/FPD/END/CONN/TYPE=R5) AND (CH/FPD/END/CONN/RAT=A1) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"2"" 150lb RF",,2.3,,,,,,,,
(CH/FPD/END/CONN/TYPE=R5) AND (CH/FPD/END/CONN/RAT=A3) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"2"" 300lb RF",,3.2,,,,,,,,
(CH/FPD/END/CONN/TYPE=R5) AND (CH/FPD/END/CONN/RAT=A6) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"2"" 600lb RF",,3.6,,,,,,,,
(CH/FPD/END/CONN/TYPE=R5) AND (CH/FPD/END/CONN/RAT=A7) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"2"" 900lb RF",,,,,,,,,,
(CH/FPD/END/CONN/TYPE=R5) AND (CH/FPD/END/CONN/RAT=A8) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"2"" 1500lb RF",,9.5,,,,,,,,
(CH/FPD/END/CONN/TYPE=F5) AND (CH/FPD/END/CONN/RAT=A1) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"2"" 150lb FF",,2.3,,,,,,,,
(CH/FPD/END/CONN/TYPE=F5) AND (CH/FPD/END/CONN/RAT=A3) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"2"" 300lb FF",,3.2,,,,,,,,
(CH/FPD/END/CONN/TYPE=F5) AND (CH/FPD/END/CONN/RAT=A6) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"2"" 600lb FF",,3.6,,,,,,,,
(CH/FPD/END/CONN/TYPE=F5) AND (CH/FPD/END/CONN/RAT=A7) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"2"" 900lb FF",,,,,,,,,,
(CH/FPD/END/CONN/TYPE=F5) AND (CH/FPD/END/CONN/RAT=A8) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"2"" 1500lb FF",,9.5,,,,,,,,
(CH/FPD/END/CONN/TYPE=J3) AND (CH/FPD/END/CONN/RAT=A1) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"2"" 150lb RTJ",,2.3,,,,,,,,
(CH/FPD/END/CONN/TYPE=J3) AND (CH/FPD/END/CONN/RAT=A3) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"2"" 300lb RTJ",,3.2,,,,,,,,
(CH/FPD/END/CONN/TYPE=J3) AND (CH/FPD/END/CONN/RAT=A6) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"2"" 600lb RTJ",,3.6,,,,,,,,
(CH/FPD/END/CONN/TYPE=J3) AND (CH/FPD/END/CONN/RAT=A7) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"2"" 900lb RTJ",,,,,,,,,,
(CH/FPD/END/CONN/TYPE=J3) AND (CH/FPD/END/CONN/RAT=A8) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"2"" 1500lb RTJ",,9.5,,,,,,,,
(CH/FPD/END/CONN/TYPE=R6) AND (CH/FPD/END/CONN/RAT=A1) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"3"" 150lb RF",,4.08,,,,,,,,
(CH/FPD/END/CONN/TYPE=R6) AND (CH/FPD/END/CONN/RAT=A3) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"3"" 300lb RF",,5.9,,,,,,,,
(CH/FPD/END/CONN/TYPE=R6) AND (CH/FPD/END/CONN/RAT=A6) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"3"" 600lb RF",,6.8,,,,,,,,
(CH/FPD/END/CONN/TYPE=R6) AND (CH/FPD/END/CONN/RAT=A7) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"3"" 900lb RF",,14.6,,,,,,,,
(CH/FPD/END/CONN/TYPE=R6) AND (CH/FPD/END/CONN/RAT=A8) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"3"" 1500lb RF",,21.8,,,,,,,,
(CH/FPD/END/CONN/TYPE=F6) AND (CH/FPD/END/CONN/RAT=A1) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"3"" 150lb FF",,4.08,,,,,,,,
(CH/FPD/END/CONN/TYPE=F6) AND (CH/FPD/END/CONN/RAT=A3) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"3"" 300lb FF",,5.9,,,,,,,,
(CH/FPD/END/CONN/TYPE=F6) AND (CH/FPD/END/CONN/RAT=A6) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"3"" 600lb FF",,6.8,,,,,,,,
(CH/FPD/END/CONN/TYPE=F6) AND (CH/FPD/END/CONN/RAT=A7) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"3"" 900lb FF",,14.6,,,,,,,,
