OneProduct,ProductGroup,ProductCode,ProductName,LongDescription,FeatureKey,Active,URL,InternalName
BF58E0EA-3099-48D3-911A-6FFEDB3A0B0A,Flow,FPD140,Integral Orifice Plates,"<p>The integral orifice is a flow element capable of being close coupled with differential pressure transmitters to make a complete flow meter. It provides easy-to-install, low-cost measurement of the small flows found frequently in plant metering operations and research projects. It can be ordered with internal NPT threads or flanged pipe runs, welded both upstream and downstream of the flow restriction. The orifice assembly may be directly mounted to the transmitter or remote using optional adapter kit 155S711. </p><p>»1/2 , 1 and 1-1/2"" NPT sizes</p><p>»±0.5% accuracy</p><p>»Flanged construction</p><p>»Wide variety of standard bores</p>",,FALSE,https://www.mcmenon.com/products-services/flow-measurement/,IntegralOrifice
BF58E0EA-3099-48D3-911A-6FFEDB3A0B0B,Flow,A6,Glass Tube Variable Area Meters,"<p>The A6 is a low capacity variable area flow meter for both liquid and gas applications with an excellent selection of material and scale lengths. The meter features a corrosion resistant, high strength stainless steel body, quick, easy snap-in tube construction and a safety tested operator protection shield. Typical applications might include cabinet purging, utilities monitoring or sampling systems.</p><p><strong>A6 features:</strong></p><p>»Tube diameters from 1/16"" to 1/4""</p><p>»Various valve options on both the instrument inlet and outlet</p><p>»One or two inductive ring sensor alarms can be fitted to certain model variants, which enable High, Low or even High and Low flow trip points to be set and a solid state status signal transmitted</p><p>»A differential pressure regulator is available, which will maintain a constant flowrate of a liquid or gas even when there are pressure variations</p>",,TRUE,https://www.mcmenon.com/products-services/flow-measurement/,PurgeMeter
BF58E0EA-3099-48D3-911A-6FFEDB3A0B0C,Temp,TIN,Temperature Inset,"<p>The TIN is the standard temperature measurement inset typically installed with a connection head and thermowell. It is available as a resistance thermometer or thermocouple with varying accuracy classes materials and connection types offered.</p><p><strong>TIN features:</strong></p><p>»ABB TTH200 or TTH300 temperature transmitter with HART communication protocol</p><p>»Various hazardous area certifications</p><p>»Simplex, duplex and triplex sensors with a wide variety of termination options</p>",,TRUE,https://www.mcmenon.com/products-services/flow-measurement/,TempInset
BF58E0EA-3099-48D3-911A-6FFEDB3A0B0D,Temp,TAI,Temperature Inset Assembly,"<p>The TAI is the temperature measurement inset and connection head assembly supplied with varying designs of extensions between head and inset. Offered with the same configuration options as the TIN, the TAI provides customers flexibility in both the design and hazardous area certification for the connection head.</p><p><strong>TAI features:</strong></p><p>»Various connection head designs in stainless steel, painted aluminium and cast iron</p><p>»Extension pieces including nipple unions, oil seal nipples and adjustable extensions</p><p>»Hazardous area certifications for the connection head</p>",,TRUE,https://www.mcmenon.com/products-services/flow-measurement/,TempInsetAssy
BF58E0EA-3099-48D3-911A-6FFEDB3A0B0E,Temp,TAW,Temperature Inset and Thermowell Assembly,"<p>The TAW is the full temperature measurement solution comprising inset, connection head and thermowell. The TAW inherits all of the configuration available for both the TAI and TTW.</p><p><strong>TAW features:</strong></p><p>»Various connection head designs in stainless steel, painted aluminium and cast iron</p><p>»Extension pieces including nipple unions, oil seal nipples and adjustable extensions</p><p>»Hazardous area certifications for the connection head</p><p>»Thermowells in a multitude of materials and designs</p><p>»Full material traceability and extensive testing options for the thermowell</p>",,TRUE,https://www.mcmenon.com/products-services/flow-measurement/,TempInsetWellAssy
BF58E0EA-3099-48D3-911A-6FFEDB3A0B0F,Temp,TTW,Thermowell,"<p>The TTW is the fully configurable thermowell, used for protecting a temperature sensing inset and enabling removal of the sensor without breaking pipeline integrity. The TTW is offered in compliance with ASME PTC 19.3, the standard thermowell stress calculation standard.</p><p><strong>TTW features:</strong></p><p>»Thermowells in a multitude of materials supported by extensive range of welding procedures</p><p>»Variety of designs including forged, flanged, Van Stone, screwed and weld-in</p><p>»Full material traceability and extensive testing options for the thermowell</p>",,TRUE,https://www.mcmenon.com/products-services/flow-measurement/,TempThermowell
BF58E0EA-3099-48D3-911A-6FFEDB3A0B10,Flow,,,,,FALSE,https://www.mcmenon.com/products-services/flow-measurement/,Product17
BF58E0EA-3099-48D3-911A-6FFEDB3A0B11,Flow,,,,,FALSE,https://www.mcmenon.com/products-services/flow-measurement/,Product18
BF58E0EA-3099-48D3-911A-6FFEDB3A0B12,Flow,,,,,FALSE,https://www.mcmenon.com/products-services/flow-measurement/,Product19
BF58E0EA-3099-48D3-911A-6FFEDB3A0B13,Flow,,,,,FALSE,https://www.mcmenon.com/products-services/flow-measurement/,Product20
BF58E0EA-3099-48D3-911A-6FFEDB3A0B14,Flow,,,,,FALSE,https://www.mcmenon.com/products-services/flow-measurement/,Product21
BF58E0EA-3099-48D3-911A-6FFEDB3A0B15,Flow,,,,,FALSE,https://www.mcmenon.com/products-services/flow-measurement/,Product22
BF58E0EA-3099-48D3-911A-6FFEDB3A0B16,Flow,,,,,FALSE,https://www.mcmenon.com/products-services/flow-measurement/,Product23
BF58E0EA-3099-48D3-911A-6FFEDB3A0B17,Flow,,,,,FALSE,https://www.mcmenon.com/products-services/flow-measurement/,Product24
BF58E0EA-3099-48D3-911A-6FFEDB3A0B18,Flow,,,,,FALSE,https://www.mcmenon.com/products-services/flow-measurement/,Product25
BF58E0EA-3099-48D3-911A-6FFEDB3A0B19,Flow,,,,,FALSE,https://www.mcmenon.com/products-services/flow-measurement/,Product26
BF58E0EA-3099-48D3-911A-6FFEDB3A0B1A,Flow,,,,,FALSE,https://www.mcmenon.com/products-services/flow-measurement/,Product27
BF58E0EA-3099-48D3-911A-6FFEDB3A0B1B,Flow,,,,,FALSE,https://www.mcmenon.com/products-services/flow-measurement/,Product28
BF58E0EA-3099-48D3-911A-6FFEDB3A0B1C,Flow,,,,,FALSE,https://www.mcmenon.com/products-services/flow-measurement/,Product29
BF58E0EA-3099-48D3-911A-6FFEDB3A0B1D,Flow,,,,,FALSE,https://www.mcmenon.com/products-services/flow-measurement/,Product30
BF58E0EA-3099-48D3-911A-6FFEDB3A0B1E,Flow,,,,,FALSE,https://www.mcmenon.com/products-services/flow-measurement/,Product31
BF58E0EA-3099-48D3-911A-6FFEDB3A0B1F,Flow,,,,,FALSE,https://www.mcmenon.com/products-services/flow-measurement/,Product32
BF58E0EA-3099-48D3-911A-6FFEDB3A0B20,Flow,,,,,FALSE,https://www.mcmenon.com/products-services/flow-measurement/,Product33
BF58E0EA-3099-48D3-911A-6FFEDB3A0B21,Flow,,,,,FALSE,https://www.mcmenon.com/products-services/flow-measurement/,Product34
